match_name,season,max_odds.home,spread_odds.home,mean_odds.home,stdev.home,max_odds.draw,spread_odds.draw,mean_odds.draw,stdev.draw,max_odds.away,spread_odds.away,mean_odds.away,stdev.away,best_spread,market_tracktake
Arsenal-Aston Villa,13,1.44,0.07999999999999985,1.3966666666666667,0.03829708431025344,5.2,0.6000000000000005,4.858333333333333,0.2107526195962146,8.5,1,7.925,0.4168333000133268,1,0.004399195575666148
Arsenal-Aston Villa,14,1.29,0.040000000000000036,1.275,0.015165750888103114,6.5,1.5,5.776666666666666,0.5826376804384236,15,5,12.553333333333333,1.925893731924653,5,-0.004293381037567157
Arsenal-Aston Villa,15,1.17,0.030000000000000027,1.16,0.012649110640673528,9.35,2.8499999999999996,8.058333333333334,1.208477002953166,21,7,17.5,2.4289915602982237,7,0.009271773977656439
Arsenal-Aston Villa,19,1.44,0.040000000000000036,1.4116666666666666,0.018348478592697195,5,0.25,4.86,0.11575836902790228,8.01,0.7599999999999998,7.71,0.3340658617698013,0.7599999999999998,0.019288389513108628
Arsenal-Aston Villa,20,1.73,0.08000000000000007,1.6916666666666667,0.02786873995477133,4.11,0.3600000000000003,3.96,0.15165750888103105,5.27,0.5699999999999994,4.953333333333333,0.20607442021431627,0.5699999999999994,0.011097005197126864
Arsenal-Bournemouth,15,1.45,0.08999999999999986,1.425,0.0333166624979153,4.86,0.5600000000000005,4.668333333333333,0.22003787552752527,8.5,1.5,7.928333333333334,0.4947895175391923,1.5,0.013063548109750522
Arsenal-Bournemouth,16,1.44,0.08999999999999986,1.4066666666666667,0.03204163957519439,5.3,0.5499999999999998,4.9816666666666665,0.1960017006728938,9,1.5,8.175,0.5135659646043534,1.5,-0.005765199161425594
Arsenal-Bournemouth,17,1.39,0.05999999999999983,1.36,0.018973665961010223,5.59,0.5899999999999999,5.39,0.22271057451320087,9,1,8.465,0.455357002801099,1,0.009426448108061036
Arsenal-Bournemouth,18,1.46,0.06000000000000005,1.435,0.021679483388678818,5,0.25,4.858333333333333,0.11583033569262705,7.5,0.5,7.4,0.2,0.5,0.0182648401826484
Arsenal-Bournemouth,19,1.46,0.040000000000000036,1.44,0.012649110640673528,5.08,0.33000000000000007,4.9383333333333335,0.1312122961717639,7.13,1.13,6.6883333333333335,0.4602354469906318,1.13,0.022034354968054615
Arsenal-Brighton,17,1.27,0.07000000000000006,1.2349999999999999,0.025884358211089593,6.65,0.6500000000000004,6.358333333333333,0.28357832545289263,13,3,12.058333333333334,1.1047247017545443,3,0.014700591575850463
Arsenal-Brighton,18,1.43,0.06999999999999984,1.4033333333333333,0.02581988897471606,5,0.5,4.7283333333333335,0.1720949350407114,9.25,1.5499999999999998,8.573333333333334,0.5329790489941106,1.5499999999999998,0.00740880740880745
Arsenal-Brighton,19,1.63,0.05999999999999983,1.595,0.029495762407505174,4.33,0.1299999999999999,4.238333333333333,0.0511533641774093,5.8,0.7000000000000002,5.496666666666666,0.24179881444429513,0.7000000000000002,0.016857607835875754
Arsenal-Brighton,20,1.63,0.05999999999999983,1.61,0.021908902300206624,4.46,0.3600000000000003,4.248333333333333,0.14176271253988723,5.5,0.25,5.306666666666667,0.10132456102380442,0.3600000000000003,0.019530360970290594
Arsenal-Burnley,14,1.3,0.050000000000000044,1.2816666666666667,0.0172240142436851,6.5,1.5,5.701666666666666,0.6340478425692075,14,5,11.621666666666666,1.9951984028328278,5,-0.005494505494505586
Arsenal-Burnley,16,1.22,0.040000000000000036,1.2033333333333334,0.015055453054181633,7.5,1.2999999999999998,7.091666666666667,0.4923582706390404,18,4.5,15.616666666666667,1.6557978942693057,4.5,0.00856102003642989
Arsenal-Burnley,17,1.57,0.07000000000000006,1.5483333333333333,0.028577380332470436,4.35,0.5999999999999996,4.171666666666667,0.21775368347439417,7,0.75,6.536666666666667,0.24711670657134185,0.75,0.009684875487642852
Arsenal-Burnley,18,1.25,0.030000000000000027,1.2366666666666666,0.015055453054181633,6.5,0.5,6.291666666666667,0.21075261959621452,15,4,14.076666666666666,1.62088453218194,4,0.020512820512820662
Arsenal-Burnley,19,1.34,0.040000000000000036,1.315,0.017606816861659026,5.68,0.4299999999999997,5.505,0.14474114826130116,10.5,1.1500000000000004,9.891666666666666,0.4128155358833613,1.1500000000000004,0.01756308998268219
Arsenal-Burnley,20,1.55,0.020000000000000018,1.5383333333333333,0.009831920802501759,4.33,0.3799999999999999,4.1466666666666665,0.12832251036613443,6.84,0.5899999999999999,6.473333333333334,0.21740898478827098,0.5899999999999999,0.02230700294902732
Arsenal-Cardiff,13,1.29,0.1100000000000001,1.25,0.043358966777357635,6.32,0.8200000000000003,5.928333333333334,0.27715819790629814,13.52,3.0199999999999996,12.503333333333334,1.0991208608095229,3.0199999999999996,0.007386143592298167
Arsenal-Cardiff,18,1.25,0.050000000000000044,1.2266666666666666,0.019663841605003517,7,1,6.586666666666667,0.4563624290699956,15,4,13.513333333333334,1.8441981093870221,4,0.00952380952380949
Arsenal-Chelsea,13,2.5,0.20000000000000018,2.3866666666666667,0.06772493386240162,3.45,0.3500000000000001,3.3083333333333336,0.13570801990548184,3.3,0.5499999999999998,3.1,0.20248456731316586,0.5499999999999998,-0.007114624505928813
Arsenal-Chelsea,14,2.5,0.1499999999999999,2.4,0.05477225575051658,3.3,0.19999999999999973,3.24,0.07874007874011801,3.44,0.69,3.1816666666666666,0.24003471971085066,0.69,-0.00627202255109216
Arsenal-Chelsea,15,2.2,0.15000000000000036,2.0933333333333333,0.05715476066494094,3.62,0.41999999999999993,3.395,0.1677796173556252,4,0.7000000000000002,3.8033333333333332,0.263565298676944,0.7000000000000002,-0.01921145153189352
Arsenal-Chelsea,16,2.4,0.04999999999999982,2.38,0.024494897427831695,3.6,0.3999999999999999,3.421666666666667,0.1510518674716293,3.21,0.16000000000000014,3.131666666666667,0.06242328625334198,0.3999999999999999,0.0059709241952232706
Arsenal-Chelsea,17,2.8,0.19999999999999973,2.691666666666667,0.08010409893798602,3.51,0.20999999999999996,3.4,0.09186947262284684,2.75,0.1499999999999999,2.6533333333333333,0.05988878581726855,0.20999999999999996,0.005679505679505592
Arsenal-Chelsea,18,3.1,0.1499999999999999,3.04,0.06480740698407857,3.65,0.1499999999999999,3.575,0.06123724356957945,2.38,0.08000000000000007,2.3366666666666664,0.040331955899344574,0.1499999999999999,0.016721315127907088
Arsenal-Chelsea,19,2.88,0.08000000000000007,2.841666666666667,0.034302575219167915,3.75,0.04999999999999982,3.7216666666666667,0.024832774042918806,2.41,0.11000000000000032,2.348333333333333,0.04355073669487895,0.11000000000000032,0.02882664822498837
Arsenal-Chelsea,20,4.2,0.25,4.098333333333334,0.10400320507881795,3.73,0.3799999999999999,3.546666666666667,0.12832251036613437,1.95,0.07999999999999985,1.9133333333333333,0.02875181153713039,0.3799999999999999,0.019012265661059402
Arsenal-Crystal Palace,13,1.23,0.030000000000000027,1.2183333333333333,0.009831920802501759,7,1.5,6.3133333333333335,0.6611101774036356,17.01,5.010000000000002,14.918333333333333,2.2022753385230165,5.010000000000002,0.014654220616280078
Arsenal-Crystal Palace,14,1.3,0.050000000000000044,1.26,0.020000000000000018,6.5,1.5,5.866666666666667,0.6177917664283546,15,6,12.085,2.202123974711687,6,-0.010256410256410331
Arsenal-Crystal Palace,15,1.36,0.06000000000000005,1.3333333333333335,0.020655911179772907,5.75,0.9500000000000002,5.261666666666667,0.3773813279253051,10,1.25,9.301666666666666,0.46477593167747694,1.25,0.009207161125319718
Arsenal-Crystal Palace,16,1.34,0.050000000000000044,1.315,0.02073644135332774,5.6,0.09999999999999964,5.516666666666667,0.04082482904638616,10.5,1.5,9.775,0.5777110004145672,1.5,0.02007818052594157
Arsenal-Crystal Palace,17,1.5,0.010000000000000009,1.4983333333333333,0.004082482904638634,4.75,0.5499999999999998,4.501666666666667,0.225514227193467,7.19,0.9400000000000004,6.823333333333333,0.36368484525295625,0.9400000000000004,0.01627504087060494
Arsenal-Crystal Palace,18,1.56,0.1100000000000001,1.52,0.036878177829171584,4.6,0.2699999999999996,4.463333333333333,0.10327955589886423,7.2,1.4500000000000002,6.446666666666667,0.4708148963941845,1.4500000000000002,-0.0026941657376440276
Arsenal-Crystal Palace,19,1.51,0.06000000000000005,1.4716666666666667,0.027141603981096402,4.75,0.15000000000000036,4.66,0.07348469228349552,7,0.9000000000000004,6.523333333333333,0.2857738033247042,0.9000000000000004,0.01563511427575559
Arsenal-Crystal Palace,20,1.58,0.050000000000000044,1.5483333333333333,0.018348478592697195,4.18,0.17999999999999972,4.0633333333333335,0.07527726527090794,6.55,0.5499999999999998,6.425,0.20916500663351886,0.5499999999999998,0.02481759789101967
Arsenal-Everton,13,1.73,0.08000000000000007,1.69,0.03633180424916993,4.03,0.5300000000000002,3.788333333333333,0.18004629034408534,5.75,0.8499999999999996,5.263333333333334,0.3691431519975233,0.8499999999999996,8.66833755628349e-5
Arsenal-Everton,14,1.57,0.020000000000000018,1.5633333333333335,0.010327955589886454,4.5,0.75,4.203333333333333,0.2882128842828971,6.6,1.0999999999999996,6.183333333333334,0.4262237284181473,1.0999999999999996,0.010680048896609451
Arsenal-Everton,15,1.45,0.020000000000000018,1.44,0.006324555320336764,5.07,1.0700000000000003,4.536666666666667,0.44256826215474004,8.2,1.1999999999999993,7.741666666666666,0.4903230227785215,1.1999999999999993,0.008845050703108592
