season,date,matchweek,hometeam,awayteam,result,maxo_h,maxo_d,maxo_a,market_tracktake,psch,pscd,psca,diff_home,diff_draw,diff_away
13,2013-08-17,1,Arsenal,Aston Villa,A,1.44,5.2,8.5,0.004399195575666148,1.4668819875776395,5.093340234644582,8.200277777777778,0.01793756063752583,-0.04160526141899601,-0.03329147573491975
13,2013-08-17,1,Liverpool,Stoke,H,1.41,5,9.5,0.014483016050765407,1.4467116135418392,4.706906798988237,10.381684043655873,0.004844669811941982,-0.05539148751891121,0.08740737601800097
13,2013-08-17,1,Norwich,Everton,D,3.32,3.41,2.4,0.01112661790858449,3.8891195151313873,3.3379057255852063,2.255893472031592,0.14846164915061077,-0.040327656973184633,-0.05886046661664601
13,2013-08-17,1,Sunderland,Fulham,A,2.3,3.4,3.58,0.008229864693023226,2.577654112944311,3.3038979304802085,3.2322964273428667,0.1225995794913719,-0.039318397160573504,-0.115269684957917
13,2013-08-17,1,Swansea,Man United,A,4.2,3.6,2.05,0.0036778939217962936,3.6922142083432408,3.4780249863122794,2.2642860614701643,-0.11764025313413573,-0.03187220453512307,0.09289366899451545
13,2013-08-17,1,West Brom,Southampton,A,2.42,3.4,3.21,0.01886726730547017,2.612358882947118,3.367493872549019,3.1225852272727272,0.057690666634312215,-0.02381683804761292,-0.04687367058990355
13,2013-08-17,1,West Ham,Cardiff,H,2,3.6,4.21,0.01530746898917923,2.2109375,3.423387096774194,3.9124423963133643,0.08907433964289346,-0.060012822601525184,-0.08903855492024315
13,2013-08-18,1,Chelsea,Hull,H,1.22,7.4,21,0.0024263139017237645,1.2565746606334842,6.9469168230143845,16.60108799617408,0.026864444044692348,-0.07940959531919467,-0.16515085850025002
13,2013-08-18,1,Crystal Palace,Tottenham,A,5.16,3.75,1.85,0.001005656819610179,6.863370438302447,3.9568911293630746,1.6623022012530442,0.30357406410006327,0.05093464214090293,-0.09492316837272496
13,2013-08-19,1,Man City,Newcastle,H,1.33,5.86,11.66,0.008291456722405943,1.2864394746973902,6.544505581595454,14.31419161528366,-0.03702369168598407,0.09515796610645522,0.20383181367290715
13,2013-08-21,2,Chelsea,Aston Villa,H,1.3,5.89,12,0.022343389491097376,1.3026211761843944,6.594519704433497,12.395254629629628,-0.020553746487369406,0.09439399930899839,0.018155985958442145
13,2013-08-24,2,Aston Villa,Liverpool,A,4.18,3.83,2,3.310555048909869e-4,4.372919454107573,4.127709017428644,1.8901637827334135,0.027185213015401777,0.0581905107997418,-0.038397262572260504
13,2013-08-24,2,Everton,West Brom,D,1.6,4.33,7.01,-0.0013997654291296735,1.612217748747114,4.21421474830733,7.020289943911484,0.02098524301007476,-0.04466380665814107,-0.01697515019597362
13,2013-08-24,2,Fulham,Arsenal,A,3.8,3.58,2.15,0.0076037827451569395,4.8703309692671395,3.668031692335084,1.9155276615527659,0.2916564103535584,0.00540329736970846,-0.11753177456741204
13,2013-08-24,2,Hull,Norwich,H,2.5,3.4,3.15,0.011577964519140949,2.423538961038961,3.374547920433996,3.43590333716916,-0.027569973298094075,-0.028294046288937058,0.06789502791680468
13,2013-08-24,2,Newcastle,West Ham,D,2.31,3.4,3.41,0.020273211924065837,2.259779773978557,3.5423574835339537,3.633970177073625,-0.04117874410313649,0.021167502901922042,0.04450493395216304
13,2013-08-24,2,Southampton,Sunderland,D,1.85,4.01,5.57,-0.03054968721144402,1.6797640046225897,4.082335550628233,6.260938562684198,-0.023715658349866886,-0.00596503395622805,0.09754309536251293
13,2013-08-24,2,Stoke,Crystal Palace,H,1.85,3.65,5.16,0.008311592892669584,2.042002363304329,3.5530841121495325,4.369885057471264,0.10577808892078311,-0.045880133356954844,-0.1699378198399687
13,2013-08-25,2,Cardiff,Man City,H,8.5,4.75,1.46,0.01310488146231803,8.828721176990017,4.999887079471855,1.4561789253858965,0.08265325672822743,0.031347335625069306,-0.02276221616029861
13,2013-08-25,2,Tottenham,Swansea,H,1.65,4.04,6.5,0.007431512382007455,1.8146432536078312,3.7414273824386184,5.505097510945107,0.09835068225980947,-0.09192705719386585,-0.1631067181945114
13,2013-08-26,3,Man United,Chelsea,D,2.5,3.51,3.2,-0.0025997150997150165,2.3825973119218014,3.431347410759176,3.4618935301427887,-0.05742171833752052,-0.04087317714681604,0.12467029928369677
13,2013-08-31,3,Cardiff,Everton,D,3.33,3.4,2.38,0.014586014586014606,3.7198573538608932,3.4344984335647153,2.2726799723588473,0.0943675852899557,0.004383764373944832,-0.06055554573669941
13,2013-08-31,3,Crystal Palace,Sunderland,H,2.6,3.31,3.09,0.010354783710017745,2.526168295084451,3.300316643578073,3.3206889685384313,-0.024411181687959416,-0.021939170258652885,0.05416348929311798
13,2013-08-31,3,Man City,Hull,H,1.2,8.5,19,0.003611971104231282,1.2066739356380343,8.017223436781515,21.48493168453822,-0.004441520469877003,-0.0209795945458896,0.13530375058675204
13,2013-08-31,3,Newcastle,Fulham,H,2.15,3.5,3.75,0.017497231450719797,2.1634397975532695,3.459462695144143,4.0207324539433404,-0.013233373652040914,-0.02794391575159494,0.057071689487778965
13,2013-08-31,3,Norwich,Southampton,H,3.06,3.4,2.6,0.005530417295123158,3.056650595575723,3.375694933834468,2.655272234540527,-0.02122002082483443,-0.012631901604572948,0.02836962238885543
13,2013-08-31,3,West Ham,Stoke,A,2.05,3.51,4.33,0.003652045166155471,2.023545196253815,3.515654280360163,4.517206953253465,-0.033059800604375744,-0.01884050100176371,0.09800801397645809
