id_game,matchweek,date,hometeam,awayteam,results,results_categoric,market_tracktake,odds,probas,bets,log_growth
2512,31,2021-04-10,man_city,leeds,0,draw,0.0009639483323693463,6.5,0.16479738380248926,0.011356471032477021,0.13432442103146652
2512,31,2021-04-10,man_city,leeds,1,away,0.0009639483323693463,10.5,0.11002551005775832,0.013189402889827354,0.13432442103146652
2513,31,2021-04-10,liverpool,aston_villa,1,home,0.024832229435809868,1.53,0.5828902640373721,2.1911113887143124e-17,0.13432442103146652
2513,31,2021-04-10,liverpool,aston_villa,0,draw,0.024832229435809868,4.6,0.26064441501410485,0.044089331726053206,0.13432442103146652
2513,31,2021-04-10,liverpool,aston_villa,0,away,0.024832229435809868,6.5,0.15646532094852292,0.009445525439072735,0.13432442103146652
2514,31,2021-04-10,crystal_palace,chelsea,0,home,0.02005543402657395,7.31,0.2297177487643115,0.1087212313107385,0.13432442103146652
2514,31,2021-04-10,crystal_palace,chelsea,0,draw,0.02005543402657395,4.2,0.2881768104768423,0.08580242762327225,0.13432442103146652
2514,31,2021-04-10,crystal_palace,chelsea,1,away,0.02005543402657395,1.55,0.4821054407588463,5.86290195552726e-18,0.13432442103146652
2515,31,2021-04-11,burnley,newcastle,0,home,0.020948357645504068,2.41,0.315609618718016,1.5951333951441443e-17,0.13432442103146652
2515,31,2021-04-11,burnley,newcastle,0,draw,0.020948357645504068,3.18,0.3098282726745928,0.040080593272149134,0.13432442103146652
2515,31,2021-04-11,burnley,newcastle,1,away,0.020948357645504068,3.43,0.3745621086073911,0.10901085140583178,0.13432442103146652
2516,31,2021-04-11,west_ham,leicester,1,home,0.017891111706596963,3.11,0.3044489231299152,9.761567783440233e-19,0.13432442103146652
2516,31,2021-04-11,west_ham,leicester,0,draw,0.017891111706596963,3.47,0.27806743099332104,1.5927872495490714e-18,0.13432442103146652
2516,31,2021-04-11,west_ham,leicester,0,away,0.017891111706596963,2.45,0.4174836458767636,0.010591911639294413,0.13432442103146652
2517,31,2021-04-11,tottenham,man_united,0,home,0.02198553749629495,2.9,0.4037021612884064,0.07711186488188171,0.13432442103146652
2517,31,2021-04-11,tottenham,man_united,0,draw,0.02198553749629495,3.49,0.2779273127221435,0.01992026073171404,0.13432442103146652
2517,31,2021-04-11,tottenham,man_united,1,away,0.02198553749629495,2.56,0.3183705259894501,1.2653335810904161e-17,0.13432442103146652
2518,31,2021-04-11,sheffield_united,arsenal,0,home,0.011245525385881637,6.5,0.2156441685583252,0.06493285188128772,0.13432442103146652
2518,31,2021-04-11,sheffield_united,arsenal,0,draw,0.011245525385881637,4.1,0.2571406844268797,0.03142590666918512,0.13432442103146652
2518,31,2021-04-11,sheffield_united,arsenal,1,away,0.011245525385881637,1.63,0.527215147014795,1.173931199904959e-18,0.13432442103146652
2519,31,2021-04-12,west_brom,southampton,1,home,0.02289259541469613,3.69,0.38371331753700505,0.13215827455060752,0.13432442103146652
2519,31,2021-04-12,west_brom,southampton,0,draw,0.02289259541469613,3.34,0.2625419064016967,0.010865740954722989,0.13432442103146652
2519,31,2021-04-12,west_brom,southampton,0,away,0.02289259541469613,2.21,0.35374477606129834,4.6111422126322335e-18,0.13432442103146652
2520,31,2021-04-12,brighton,everton,0,home,0.02206992485029424,2.33,0.35253510833975266,1.9570829569202657e-17,0.13432442103146652
2520,31,2021-04-12,brighton,everton,1,draw,0.02206992485029424,3.3,0.27609088200392345,0.008965128042407374,0.13432442103146652
2520,31,2021-04-12,brighton,everton,0,away,0.02206992485029424,3.45,0.371374009656324,0.09358872022429157,0.13432442103146652
2521,32,2021-04-16,everton,tottenham,0,home,0.019101849901585588,3.5,0.3563030318179781,0.09635228609098871,0.10052953639471332
2521,32,2021-04-16,everton,tottenham,1,draw,0.019101849901585588,3.56,0.2792469287895893,0.0335012388518798,0.10052953639471332
2521,32,2021-04-16,everton,tottenham,0,away,0.019101849901585588,2.21,0.3644500393924327,1.7578506437832294e-17,0.10052953639471332
2522,32,2021-04-17,newcastle,west_ham,1,home,0.01967067200712069,3.75,0.2777776467619416,0.02324986723250488,0.10052953639471332
2522,32,2021-04-17,newcastle,west_ham,0,draw,0.01967067200712069,3.5,0.3069201877869646,0.03244376458747463,0.10052953639471332
2522,32,2021-04-17,newcastle,west_ham,0,away,0.01967067200712069,2.14,0.4153021654510938,9.378712686026466e-18,0.10052953639471332
