id_game,matchweek,results,results_categoric,odds,probas,bets,log_growth
2381,18,0,home,1.63,0.5209667667094882,,
2381,18,0,draw,3.7,0.29857002972397784,,
2381,18,1,away,7.07,0.18046320356653395,0.03592757437305675,0.147167857490828
2382,18,0,home,2.18,0.389528062835392,,
2382,18,0,draw,3.67,0.29022973729320983,,
2382,18,1,away,3.43,0.32024219987139824,0.03040564445892735,0.147167857490828
2383,18,1,home,1.85,0.4402831738663473,,
2383,18,0,draw,3.6,0.3190486809052505,,
2383,18,0,away,4.88,0.24066814522840216,0.03460174306897737,0.147167857490828
2384,18,0,home,6.81,0.21900362360973571,0.07042187526712135,0.147167857490828
2384,18,0,draw,4.33,0.2469420797326301,,
2384,18,1,away,1.56,0.534054296657634,,
2385,18,1,home,1.8,0.4226185490096197,,
2385,18,0,draw,3.75,0.2853556597650457,,
2385,18,0,away,4.8,0.2920257912253345,0.08699714105370815,0.147167857490828
2386,18,0,home,6.5,0.14382438783343202,,
2386,18,0,draw,3.8,0.222006451416082,,
2386,18,1,away,1.68,0.6341691607504859,0.0707328581806273,0.147167857490828
2387,18,0,home,2.0,0.6124397672824716,0.18030188663424185,0.147167857490828
2387,18,1,draw,4.0,0.22215667397626385,,
2387,18,0,away,3.71,0.1654035587412645,,
2388,18,1,home,1.18,0.6849484289574119,,
2388,18,0,draw,8.5,0.18611843995194524,,
2388,18,0,away,19.0,0.12893313109064286,0.07347753005585354,0.147167857490828
2389,18,1,home,1.45,0.5177298608000751,,
2389,18,0,draw,4.73,0.2651068648022565,,
2389,18,0,away,8.0,0.21716327439766828,0.09149894785758343,0.147167857490828
2390,18,1,home,1.6,0.5066028067243387,,
2390,18,0,draw,4.23,0.2926768456259609,,
2390,18,0,away,6.5,0.20072034764970054,0.04415242037562937,0.147167857490828
2391,19,1,home,3.0,0.2302679296963569,,
2391,19,0,draw,3.49,0.26781483827708985,,
2391,19,0,away,2.55,0.5019172320265531,0.14691371779351486,0.14777128426701489
2392,19,1,home,1.27,0.639849563509139,,
2392,19,0,draw,6.5,0.1877769540345536,,
2392,19,0,away,12.0,0.1723734824563074,0.08684713556581837,0.14777128426701489
2393,19,0,home,6.5,0.15066339310578333,,
2393,19,0,draw,4.41,0.21991021903864347,,
2393,19,1,away,1.56,0.6294263878555733,9.020741792060185e-18,0.14777128426701489
2394,19,0,home,1.21,0.7540293952862758,,
2394,19,0,draw,7.5,0.17678645194722398,0.04022377100616468,0.14777128426701489
2394,19,1,away,17.0,0.06918415276650021,,
2395,19,1,home,1.52,0.42751438184235785,,
2395,19,0,draw,4.75,0.3022651880042027,,
2395,19,0,away,6.5,0.27022043015343955,0.12104874118238207,0.14777128426701489
2396,19,0,home,3.21,0.2917095698511505,,
2396,19,0,draw,3.32,0.315692935687972,0.015513526182437018,0.14777128426701489
2396,19,1,away,2.44,0.3925974944608775,,
2397,19,0,home,3.92,0.3565817345578488,0.11304538035327587,0.14777128426701489
2397,19,0,draw,3.89,0.2794132565563917,,
2397,19,1,away,1.95,0.3640050088857596,,
2398,19,0,home,3.59,0.3028069199786101,0.025416854998867474,0.14777128426701489
2398,19,0,draw,3.69,0.2845055832400697,,
2398,19,1,away,2.11,0.4126874967813201,,
2399,19,0,home,18.0,0.09810322855309372,0.03843869602203853,0.14777128426701489
2399,19,0,draw,7.5,0.18010829905860706,,
2399,19,1,away,1.22,0.7217884723882992,,
2400,19,1,home,4.01,0.17727327310002494,,
2400,19,0,draw,3.65,0.2859257271125057,,
2400,19,0,away,2.0,0.5368009997874695,0.05518677353021991,0.14777128426701489
2401,20,0,home,1.63,0.5092730659524078,,
2401,20,1,draw,4.26,0.27374690967007337,,
2401,20,0,away,6.0,0.2169800243775188,0.0439875758888237,0.18467615353006467
2402,20,0,home,2.1,0.4300183385412287,,
2402,20,1,draw,3.47,0.3178951372341332,0.02815279263138271,0.18467615353006467
2402,20,0,away,3.96,0.25208652422463823,,
2403,20,0,home,2.92,0.34562224204110736,0.003127927308572105,0.18467615353006467
2403,20,1,draw,3.3,0.29108612861076544,,
2403,20,0,away,2.68,0.3632916293481273,,
2404,20,0,home,1.3,0.7065284961278544,,
2404,20,0,draw,6.21,0.18993772342457246,,
2404,20,1,away,12.0,0.10353378044757316,0.0156864333134815,0.18467615353006467
2405,20,0,home,3.33,0.5099015086571087,0.2629455838338263,0.18467615353006467
2405,20,0,draw,3.7,0.2757691961151425,,
2405,20,1,away,2.25,0.2143292952277488,,
2406,20,0,home,1.61,0.4995799146085848,,
2406,20,0,draw,4.03,0.2765277579662481,,
2406,20,1,away,6.5,0.22389232742516707,0.06330104346323961,0.18467615353006467
2407,20,1,home,3.05,0.3606074812288487,0.03277321340471401,0.18467615353006467
2407,20,0,draw,3.2,0.3099196033007359,,
2407,20,0,away,2.65,0.3294729154704154,,
2408,20,1,home,1.14,0.7566730954065193,,
2408,20,0,draw,9.43,0.1689753179799605,,
2408,20,0,away,26.18,0.07435158661352023,0.030895989533133866,0.18467615353006467
2409,20,0,home,3.43,0.4490886791258295,0.18165022443436452,0.18467615353006467
2409,20,1,draw,3.26,0.2293761328409742,,
2409,20,0,away,2.36,0.3215351880331963,,
2410,20,0,home,2.93,0.4007391785387687,0.06277728078391012,0.18467615353006467
2410,20,1,draw,3.5,0.2775249277040621,,
2410,20,0,away,2.55,0.3217358937571692,,
2411,21,0,home,2.9,0.22404923494540435,,
2411,21,0,draw,3.73,0.2978427712408695,,
2411,21,1,away,2.44,0.4781079938137263,0.0939920122359098,0.12971306603746036
2412,21,1,home,1.36,0.5835379122810497,,
2412,21,0,draw,5.25,0.2610588296488369,,
2412,21,0,away,10.02,0.15540325807011346,0.05318290525371382,0.12971306603746036
2413,21,0,home,1.85,0.5048748693800303,,
2413,21,0,draw,4.18,0.2724840403785743,0.03511423913159311,0.12971306603746036
2413,21,1,away,4.27,0.22264109024139545,,
2414,21,0,home,4.65,0.3777921420684277,0.19218528616290978,0.12971306603746036
2414,21,0,draw,4.1,0.2576254192954107,,
2414,21,1,away,1.8,0.3645824386361615,,
2415,21,1,home,3.2,0.3026473089846434,,
2415,21,0,draw,3.46,0.21991821857029684,,
2415,21,0,away,2.39,0.4774344724450598,0.0817761662341907,0.12971306603746036
2416,21,1,home,2.11,0.4838215356092841,0.014714159911843603,0.12971306603746036
2416,21,0,draw,3.33,0.2874857964404467,,
2416,21,0,away,4.2,0.2286926679502693,,
2417,21,1,home,3.71,0.2740034362903873,,
2417,21,0,draw,3.36,0.3057627930366222,0.009101013649441733,0.12971306603746036
2417,21,0,away,2.2,0.4202337706729905,,
2418,21,1,home,1.46,0.6237365039703188,,
2418,21,0,draw,4.81,0.2099678386581602,,
2418,21,0,away,8.0,0.1662956573715209,0.03928844647149176,0.12971306603746036
2419,21,0,home,3.01,0.3336571291862058,0.00167654590376849,0.12971306603746036
2419,21,0,draw,3.2,0.29678960313164066,,
2419,21,1,away,2.68,0.3695532676821535,,
2420,21,0,home,15.0,0.13303292283349055,0.06389282332647815,0.12971306603746036
2420,21,0,draw,7.0,0.20521397879712855,,
2420,21,1,away,1.23,0.6617530983693809,,
2421,22,0,home,4.12,0.20027740456170226,,
2421,22,0,draw,3.56,0.2892145472178878,0.00973306634261317,0.0865825551576135
2421,22,1,away,2.0,0.51050804822041,,
2422,22,0,home,2.51,0.29853846327392153,,
2422,22,0,draw,3.75,0.2837585041864505,,
2422,22,1,away,2.82,0.4177030325396281,0.08487905453513447,0.0865825551576135
2423,22,0,home,2.23,0.3397273816593568,,
2423,22,0,draw,3.5,0.2764950428221721,,
2423,22,1,away,3.46,0.3837775755184712,0.11979718553783797,0.0865825551576135
2424,22,0,home,1.37,0.6754533741083729,,
2424,22,0,draw,5.5,0.20893187219727807,0.028463147561898102,0.0865825551576135
2424,22,1,away,9.0,0.11561475369434886,,
2425,22,0,home,3.6,0.4309014292535697,0.20180811862819556,0.0865825551576135
2425,22,0,draw,3.52,0.2815392975692865,,
2425,22,1,away,2.18,0.2875592731771436,,
2426,22,1,home,2.84,0.3326646924323025,,
2426,22,0,draw,3.6,0.2730239541112834,,
2426,22,0,away,2.6,0.3943113534564142,0.013243737343123247,0.0865825551576135
2427,22,0,home,3.74,0.2901883182023845,0.026441877337791905,0.0865825551576135
2427,22,1,draw,3.21,0.3141997349162461,,
2427,22,0,away,2.26,0.3956119468813694,,
2428,22,1,home,3.06,0.3061412834045109,,
2428,22,0,draw,3.32,0.2951010325327049,,
2428,22,0,away,2.54,0.3987576840627843,0.007001823234018646,0.0865825551576135
2429,22,0,home,3.66,0.24800078540118495,,
2429,22,1,draw,3.56,0.3098832748899969,0.034346843218499706,0.0865825551576135
2429,22,0,away,2.13,0.4421159397088181,,
2430,22,0,home,1.57,0.5998223444320144,,
2430,22,1,draw,4.35,0.22016225727456712,,
2430,22,0,away,6.25,0.18001539829341853,0.020378131290703125,0.0865825551576135
2431,23,1,home,1.48,0.6912911040158677,,
2431,23,0,draw,4.6,0.22819495809122156,0.010467891371491088,0.13669577504415714
2431,23,0,away,7.81,0.08051393789291074,,
2432,23,0,home,3.63,0.2887141843302721,0.013832633391070558,0.13669577504415714
2432,23,1,draw,3.49,0.2965253012007151,,
2432,23,0,away,2.2,0.4147605144690128,,
2433,23,0,home,3.44,0.4749659681214559,0.23783206845029767,0.13669577504415714
2433,23,0,draw,3.7,0.2676257442646796,,
2433,23,1,away,2.2,0.2574082876138645,,
2434,23,0,home,7.64,0.21279620741508531,0.08108481863476294,0.13669577504415714
2434,23,0,draw,4.5,0.2614807021605243,,
2434,23,1,away,1.5,0.5257230904243902,,
2435,23,1,home,1.88,0.3870871508700611,,
2435,23,0,draw,3.93,0.2803658201534883,,
2435,23,0,away,4.24,0.3325470289764505,0.10603432334442404,0.13669577504415714
2436,23,1,home,3.6,0.3580390520403168,0.09029351712821154,0.13669577504415714
2436,23,0,draw,3.53,0.26657460576805314,,
2436,23,0,away,2.2,0.37538634219163,,
2437,23,0,home,2.54,0.3978460399216525,,
2437,23,0,draw,3.2,0.2957833358257426,,
2437,23,1,away,3.3,0.3063706242526048,0.0036015645617959308,0.13669577504415714
2438,23,1,home,1.35,0.6534259160347048,,
2438,23,0,draw,5.91,0.21052897322543432,,
2438,23,0,away,9.5,0.1360451107398609,0.027625072817936695,0.13669577504415714
2439,23,0,home,2.85,0.3018456702359068,,
2439,23,1,draw,3.51,0.30650915684062,0.023037768721530617,0.13669577504415714
2439,23,0,away,2.6,0.3916451729234733,,
2440,23,0,home,2.45,0.3673911348415612,,
2440,23,0,draw,3.28,0.31081574028432896,,
2440,23,1,away,3.25,0.3217931248741097,0.015411663905602009,0.13669577504415714
2441,24,0,home,10.0,0.10920012791210808,,
2441,24,1,draw,5.71,0.21107027203684706,0.03560335206690784,0.14624512193102818
2441,24,0,away,1.35,0.6797296000510449,,
2442,24,1,home,1.93,0.4636170411871079,,
2442,24,0,draw,3.8,0.2872223411026235,0.026144254634927075,0.14624512193102818
2442,24,0,away,4.1,0.2491606177102685,,
2443,24,0,home,1.96,0.44790329797126455,,
2443,24,0,draw,3.61,0.27770527049778704,,
2443,24,1,away,4.24,0.2743914315309484,0.04094576028837492,0.14624512193102818
