,id_game,season,matchweek,date,hometeam,awayteam,market_tracktake,result,result_categoric,odds,probas,bets
0,2391,20,19,2021-01-19,leicester,chelsea,0.012023147367829612,0,d,3.49,0.318549961511794,0.05790762969548324
1,2392,20,19,2021-01-20,man_city,aston_villa,0.02458106198263676,0,d,6.5,0.23938628912031865,0.099034206967705
2,2393,20,19,2021-01-20,fulham,man_united,0.02162916448630714,0,h,6.5,0.2065604922533628,0.06780260209490331
3,2394,20,19,2021-01-21,liverpool,burnley,0.018603143736833472,1,a,17.0,0.117683946444327,0.04569041935315372
4,2395,20,19,2021-01-23,aston_villa,newcastle,0.022267206477732948,0,a,6.5,0.2504585277662134,0.10848758141664477
5,2396,20,19,2021-01-26,crystal_palace,west_ham,0.022567364601657758,0,d,3.32,0.3073217130219274,0.01185935176311048
6,2397,20,19,2021-01-26,newcastle,leeds,0.02499196237719925,0,h,3.92,0.4504492458860142,0.2758414284936388
7,2398,20,19,2021-01-26,southampton,arsenal,0.02348789134962592,0,h,3.59,0.3108018346874765,0.05746503924228961
8,2399,20,19,2021-01-26,west_brom,man_city,0.008561020036429891,0,h,18.0,0.15487736873399846,0.057763901120392695
9,2400,20,19,2021-01-27,burnley,aston_villa,0.02334916134321729,1,h,4.01,0.4029697432541483,0.2181478398526785
10,2401,20,20,2021-01-27,chelsea,wolves,0.01490538321956292,1,d,4.26,0.2856235535197667,0.08647152674870226
11,2402,20,20,2021-01-27,brighton,fulham,0.01690016675607464,0,a,3.96,0.31482165536170986,0.10773113186366874
12,2403,20,20,2021-01-27,everton,leicester,0.018630384813169483,1,d,3.3,0.3250269350897511,0.04488261170986181
13,2404,20,20,2021-01-27,man_united,sheffield_united,0.01359469837730698,0,h,1.3,0.8122884489143344,0.32088370220688983
14,2405,20,20,2021-01-28,tottenham,liverpool,0.01501501501501501,1,a,2.25,0.4968849708939304,0.1377219103167846
15,2406,20,20,2021-01-30,everton,newcastle,0.023103124084891125,1,a,6.5,0.209859223540328,0.07676886963828015
16,2407,20,20,2021-01-30,crystal_palace,wolves,0.017727343025054187,1,h,3.05,0.37687605166249133,0.10107150317298871
17,2408,20,20,2021-01-30,man_city,sheffield_united,0.02143461818302339,0,a,26.18,0.060024166392219774,0.021828536837949983
18,2409,20,20,2021-01-30,west_brom,fulham,0.02202246932136398,0,h,3.43,0.3293873575438764,0.07378106032068996
19,2410,20,20,2021-01-30,arsenal,man_united,0.01916807678702881,0,h,2.93,0.354393667634582,0.028859147184183972
20,2411,20,21,2021-01-30,southampton,aston_villa,0.022760166525975345,0,h,2.9,0.3836889885870259,0.054784809012183744
21,2412,20,21,2021-01-31,chelsea,burnley,0.02557070732484612,0,a,10.02,0.17701991196840905,0.05114071927197089
22,2413,20,21,2021-01-31,leicester,leeds,0.01396702777203207,0,d,4.18,0.2735731274138495,0.03996325848562348
23,2414,20,21,2021-01-31,west_ham,liverpool,0.014511758020806063,0,h,4.65,0.2745860158694035,0.06213752666521171
24,2415,20,21,2021-01-31,brighton,tottenham,0.01992738288146656,0,a,2.39,0.5297008030603138,0.18070712901967442
25,2416,20,21,2021-02-02,sheffield_united,west_brom,0.012329187684637866,1,h,2.11,0.5407886004766543,0.12334736436470785
26,2417,20,21,2021-02-02,wolves,arsenal,0.02170628114024331,1,h,3.71,0.3688362492217188,0.11114615730711379
27,2418,20,21,2021-02-02,man_united,southampton,0.01783171474952283,1,h,1.46,0.7238326676587653,0.12886001132815464
28,2419,20,21,2021-02-02,newcastle,crystal_palace,0.017860241979471336,0,h,3.01,0.4846023812229029,0.19594870572295853
29,2420,20,21,2021-02-03,burnley,man_city,0.02253193960511024,0,h,15.0,0.19149759136473604,0.051964318822400976
30,2421,20,22,2021-02-03,fulham,leicester,0.023617323006436042,0,h,4.12,0.3097480505206367,0.12393216215514115
31,2422,20,22,2021-02-03,leeds,everton,0.01968297024667298,1,a,2.82,0.42367885576538383,0.16336652096417403
32,2423,20,22,2021-02-03,aston_villa,west_ham,0.02316212002829077,0,h,2.23,0.4605978451772885,0.03576738644336975
33,2424,20,22,2021-02-03,liverpool,brighton,0.02285630022856311,0,d,5.5,0.2252018926888004,0.07362651050287033
34,2425,20,22,2021-02-04,tottenham,chelsea,0.020584283198961998,0,h,3.6,0.3712849272639585,0.18122242649647372
35,2426,20,22,2021-02-06,aston_villa,arsenal,0.014505838449500487,0,d,3.6,0.34298059837832784,0.130902197201762
36,2427,20,22,2021-02-06,burnley,brighton,0.021384035001358548,0,h,3.74,0.3214455508620229,0.10794195850080088
37,2428,20,22,2021-02-06,newcastle,southampton,0.021702992299598375,1,h,3.06,0.3503552638912849,0.05508850249300857
38,2429,20,22,2021-02-06,fulham,west_ham,0.02360648819545874,0,h,3.66,0.337628766824878,0.1281523352423995
39,2430,20,22,2021-02-06,man_united,everton,0.026827732630499982,1,d,4.35,0.22634503490276794,0.0
40,2431,20,23,2021-02-07,tottenham,west_brom,0.02110795313489744,1,h,1.48,0.7890249772746344,0.38507423433967974
41,2432,20,23,2021-02-07,wolves,leicester,0.016560499498764703,0,h,3.63,0.4138041680448638,0.1314790046589173
42,2433,20,23,2021-02-07,liverpool,man_city,0.015513399234329484,0,h,3.44,0.33637212843672964,0.04978281373703397
43,2434,20,23,2021-02-07,sheffield_united,chelsea,0.01977894124490964,0,h,7.64,0.2344730272479622,0.06321945637054627
44,2435,20,23,2021-02-08,leeds,crystal_palace,0.022216876429446364,0,a,4.24,0.313422772226884,0.07116032633285013
