result,season,matchweek,date,hometeam,awayteam,position_table_home,total_pts_home,npxGD_ma_home,npxGD_var_home,big_six_home,promoted_team_home,position_table_away,total_pts_away,npxGD_ma_away,npxGD_var_away,big_six_away,promoted_team_away,ova_home,att_home,mid_home,def_home,transfer_budget_home,ip_home,saa_home,ova_away,att_away,mid_away,def_away,transfer_budget_away,ip_away,saa_away,proba_h,proba_d,proba_a
D,14,4,2014-09-13,arsenal,man_city,7,5,1.0010631974694326,0.6065160890485043,1,0,4,6,0.508084775685061,0.008550864092429904,1,0,80,81,80,80,35,18,25.45,82,83,82,81,80,19,28.27,0.3912073325628497,0.29252440182627504,0.3162682656108753
H,14,4,2014-09-13,chelsea,swansea,1,9,1.2365182474643908,0.39248035617707105,1,0,2,9,0.24476209615411168,1.2464156389954237,0,0,82,82,82,81,55,20,25.64,75,77,73,74,9.5,14,26.36,0.7502217523081569,0.1712178563630114,0.07856039132883177
D,14,4,2014-09-13,crystal_palace,burnley,18,1,-0.673259030908324,0.4610581134160131,0,0,19,1,-0.5457758872907817,0.9822210853078475,0,1,73,71,73,73,9,11,28,70,70,69,69,7.5,9,27.55,0.44117098638821556,0.2897631922431475,0.269065821368637
A,14,4,2014-09-13,liverpool,aston_villa,5,6,0.3425695616064123,1.1618261732249855,1,0,3,7,0.21190733144015947,0.12572619347845163,0,0,80,81,79,79,40,18,25.09,74,76,73,73,11.5,15,26.91,0.7530576902262149,0.16181404913951727,0.08512826063426777
H,14,4,2014-09-13,southampton,newcastle,8,4,0.4106024034084576,0.2544495477195479,0,0,15,2,-0.07931289829168504,0.1307163599514292,0,0,75,76,76,73,11,13,25.09,76,74,75,75,17,16,26.09,0.5609142801039625,0.2562924256349698,0.18279329426106783
A,14,4,2014-09-13,stoke,leicester,10,4,-0.11398482440957045,0.5553460890079196,0,0,15,2,-0.8405755152931309,1.456152520944892,0,1,75,76,75,73,16,14,27.09,70,70,71,70,9.5,10,26,0.44983788987838197,0.2762384788548937,0.27392363126672425
D,14,4,2014-09-13,sunderland,tottenham,13,2,-0.18412813887203172,0.04166708505071014,0,0,6,6,-0.13594084931621944,2.083174862324176,1,0,74,75,73,73,16,14,26.45,79,80,77,77,26,17,24.27,0.27136832140611644,0.2721242220228466,0.456507456571037
A,14,4,2014-09-13,west_brom,everton,17,2,-0.5091917077764233,0.5890760544906585,0,0,16,2,-0.444946534290638,0.09137916168239744,0,0,75,74,73,72,9.5,14,26.27,78,79,78,79,14,16,28.91,0.2687253288892969,0.27631643987487026,0.45495823123583295
H,14,4,2014-09-14,man_united,queens_rangers,14,2,0.34103250159904874,0.21961211893924446,1,0,12,3,-0.3248121707373125,0.7634759657149307,0,1,81,85,80,76,39,20,25,75,77,74,74,10,14,27.55,0.7733949741399814,0.1527545283293587,0.07385049753065988
D,14,4,2014-09-15,hull,west_ham,9,4,-0.3785533145986729,0.12679726821817194,0,0,11,3,-0.08263289560476085,0.7412767356557293,0,0,72,70,72,72,10,11,26,74,76,73,72,11,14,26.64,0.4474611220895266,0.290317037546181,0.26222184036429247
A,14,5,2014-09-20,aston_villa,arsenal,2,10,0.13838662550737835,0.09386398837080476,0,0,7,6,0.6212061700210193,0.8088879933449519,1,0,74,76,73,73,11.5,15,26.91,80,81,80,80,35,18,25.45,0.1892463535967693,0.2600254938013965,0.5507281526018342
D,14,5,2014-09-20,burnley,sunderland,18,2,-0.4677981375983618,0.6254856706638656,0,1,15,3,-0.6512883726552232,0.6826066302337473,0,0,70,70,69,69,7.5,9,27.55,74,75,73,73,16,14,26.45,0.3774853534893604,0.3038581792793613,0.3186564672312783
D,14,5,2014-09-20,newcastle,hull,20,2,-0.3533716524604848,0.3066215899978252,0,0,10,5,-0.3296458789435366,0.08479591080089298,0,0,76,74,75,75,17,16,26.09,72,70,72,72,10,11,26,0.4623912199988914,0.2849620309295494,0.25264674907155926
D,14,5,2014-09-20,queens_rangers,stoke,16,3,-0.7364287242430008,0.9724930336525931,0,1,14,4,0.24505906945886968,0.7307753633964983,0,0,75,77,74,74,10,14,27.55,75,76,75,73,16,14,27.09,0.3532002450612075,0.31059196153001417,0.3362077934087782
A,14,5,2014-09-20,swansea,southampton,3,9,-0.6187534455166287,3.00251668352171,0,0,4,7,0.5823959625649066,0.24584057586220684,0,0,75,77,73,74,9.5,14,26.36,75,76,76,73,11,13,25.09,0.36036654516766486,0.2857717209492852,0.35386173388305
H,14,5,2014-09-20,west_ham,liverpool,13,4,0.01374257364224806,0.4805575539162439,0,0,8,6,0.24596973626484187,0.748254940061987,1,0,74,76,73,72,11,14,26.64,80,81,79,79,40,18,25.09,0.18838413260202905,0.2486288044493785,0.5629870629485927
A,14,5,2014-09-21,everton,crystal_palace,11,5,-0.24358247577787231,0.17781900200630316,0,0,17,2,-0.37428033394261445,0.5520317098660176,0,0,78,79,78,79,14,16,28.91,73,71,73,73,9,11,28,0.6402250547007954,0.22161636508873686,0.1381585802104678
H,14,5,2014-09-21,leicester,man_united,12,5,-0.9050277361198015,0.9110697702170809,0,1,9,5,0.7475940210496217,0.6258137122867287,1,0,70,70,71,70,9.5,10,26,81,85,80,76,39,20,25,0.1806635990893241,0.24898562006472838,0.5703507808459475
D,14,5,2014-09-21,man_city,chelsea,5,7,0.42290046672484477,0.027319531397155174,1,0,1,12,1.638993507098266,0.7318263869105077,1,0,82,83,82,81,80,19,28.27,82,82,82,81,55,20,25.64,0.39536660449857314,0.2842055591757859,0.3204278363256409
A,14,5,2014-09-21,tottenham,west_brom,6,7,0.4279401677141391,2.2492029799262228,1,0,19,2,-0.4151449504885161,0.389609168346815,0,0,79,80,77,77,26,17,24.27,75,74,73,72,9.5,14,26.27,0.6526790790221717,0.20785957930642407,0.1394613416714042
D,14,6,2014-09-27,arsenal,tottenham,4,9,0.6446022950821553,0.5680684718331427,1,0,9,7,0.15279655814136614,1.84722024525592,1,0,81,82,80,78,35,18,25.09,79,80,78,76,26,17,24.64,0.5370757828291783,0.25201248271215293,0.21091173445866876
H,14,6,2014-09-27,chelsea,aston_villa,1,13,1.2095889390533883,1.1847690588827025,1,0,3,10,-0.07813455660638058,0.23906774120167842,0,0,82,83,82,81,55,20,25.64,74,76,74,73,11.5,15,26,0.8048873068582092,0.13714560256522557,0.05796709057656523
H,14,6,2014-09-27,crystal_palace,leicester,15,5,-0.5180760147355268,0.45990389131462445,0,0,7,8,-0.8502996361073563,0.6464340552505148,0,1,73,72,72,72,9,11,27.09,71,71,69,70,9.5,10,26.55,0.367667822570625,0.28047802464673394,0.3518541527826411
A,14,6,2014-09-27,hull,man_city,10,6,-0.5141700838634088,0.1869609678776748,0,0,6,8,0.32366039556804604,0.05520465314317445,1,0,73,72,74,73,10,11,26.73,82,83,83,81,80,19,28.64,0.1339086859688196,0.20378619153674835,0.6623051224944322
D,14,6,2014-09-27,liverpool,everton,11,6,-0.03876857793495848,0.8274473408018457,1,0,14,5,0.05941298949711394,0.457622915745462,0,0,79,81,79,78,40,18,24,78,79,78,78,14,16,27.09,0.510547563541252,0.26565076476943195,0.22380167168931595
H,14,6,2014-09-27,man_united,west_ham,12,5,0.7333643527032214,0.43758248445500364,1,0,8,7,0.23361758439798924,0.5163093094241147,0,0,81,87,80,75,39,20,24.91,75,73,74,72,11,14,26.27,0.7426326129666011,0.15127701375245578,0.10609037328094303
H,14,6,2014-09-27,southampton,queens_rangers,2,10,0.49275132951455825,0.2017350513865694,0,0,18,4,-0.6516722457112903,0.7076922936771101,0,1,75,77,75,75,11,13,26,75,75,75,73,10,14,27.36,0.6252852618523984,0.22619766384983078,0.1485170742977709
D,14,6,2014-09-27,sunderland,swansea,17,4,-0.50273676261834,0.5592634925727992,0,0,5,9,-0.51964042660077,2.1355831737283006,0,0,74,74,75,73,16,14,26.55,75,77,73,74,9.5,14,26.36,0.3406232914160744,0.29196282121377803,0.36741388737014763
H,14,6,2014-09-28,west_brom,burnley,16,5,-0.14187918065736596,0.542963796765602,0,0,19,3,-0.3320246610187316,0.5063922983993455,0,1,75,77,73,72,9.5,14,26.27,70,69,69,70,7.5,9,27.36,0.5113132223092918,0.28373450486527174,0.20495227282543635
H,14,6,2014-09-29,stoke,newcastle,13,5,0.28498401833956283,0.5172873420251036,0,0,20,3,0.006668202900452693,0.693587222394214,0,0,75,74,75,74,16,14,27.09,75,74,75,74,17,16,26,0.45147347602142085,0.290711407408452,0.2578151165701272
A,14,7,2014-10-04,aston_villa,man_city,6,10,-0.7000312512575348,1.8460051992852846,0,0,3,11,0.564142229001033,0.29263807452853063,1,0,74,76,74,72,11.5,15,26,82,83,83,81,80,19,27.73,0.1127807605553261,0.1962385233662674,0.6909807160784064
H,14,7,2014-10-04,hull,crystal_palace,16,6,-0.7129696801597727,0.3122670809795419,0,0,9,8,-0.04047631336132465,1.3290575861197649,0,0,73,72,74,73,10,11,26.73,73,72,73,73,9,11,27.82,0.44925859823795117,0.2838793461329662,0.2668620556290827
D,14,7,2014-10-04,leicester,burnley,12,8,-1.0275901239519856,0.6208914742903139,0,1,20,3,-0.5547328404358249,0.5899039289842204,0,1,71,70,71,70,9.5,10,27.91,70,69,69,70,7.5,9,27.36,0.5696510684338653,0.2419258858533946,0.18842304571274004
H,14,7,2014-10-04,liverpool,west_brom,14,7,0.19932042601947664,0.8673173349207836,1,0,10,8,0.18600785951305732,0.86341189578671,0,0,79,80,78,78,40,18,24.55,75,73,74,72,9.5,14,26.73,0.6632298871262181,0.2092921605430283,0.1274779523307536
H,14,7,2014-10-04,sunderland,stoke,17,5,-0.12036619599130759,1.049199098805034,0,0,11,8,0.31574085519139933,0.38962087262031786,0,0,74,74,74,72,16,14,26.55,75,74,75,74,16,14,27.09,0.3671657627467968,0.3016407958565992,0.3311934413966039
D,14,7,2014-10-04,swansea,newcastle,5,10,-0.6780082145920313,1.7080117227438203,0,0,19,3,-0.08953207915008735,0.5558527472311636,0,0,75,77,73,74,9.5,14,26.36,75,74,75,74,17,16,26,0.4843654611199442,0.271029981014484,0.2446045578655718
H,14,7,2014-10-05,chelsea,arsenal,1,16,1.5817245879407962,1.4891778629751637,1,0,4,10,0.6328806987973006,0.4264951924602911,1,0,82,83,82,81,55,20,25.82,81,81,81,78,35,18,25.09,0.5696038873236401,0.245543530375103,0.1848525823012568
H,14,7,2014-10-05,man_united,everton,7,8,0.40874786052561024,0.7856771646154129,1,0,15,6,-0.18435447244481784,0.599491058898305,0,0,81,88,81,77,39,20,25.27,78,80,77,77,14,16,28.18,0.6166409548179693,0.21885248173227032,0.16450656344976028
H,14,7,2014-10-05,tottenham,southampton,8,8,-0.009618435441725512,1.500827245477583,1,0,2,13,0.7989871852213257,0.5551678771472447,0,0,79,80,78,76,26,17,24.64,75,77,75,75,11,13,26,0.40008361204013376,0.2816680602006689,0.3182483277591973
