result,season,matchweek,date,hometeam,awayteam,big_six_ad,promoted_team_ad,position_table_ad,total_pts_ad,npxGD_ma_ad,ip_ad,saa_ad,proba_h,proba_d,proba_a
A,14,5,2014-09-21,tottenham,west_brom,1,0,13,5,0.8430851182026552,3,-2,0.6526790790221717,0.20785957930642407,0.1394613416714042
D,14,6,2014-09-27,arsenal,tottenham,0,0,5,2,0.4918057369407891,1,0.4499999999999993,0.5370757828291783,0.25201248271215293,0.21091173445866876
H,14,6,2014-09-27,chelsea,aston_villa,1,0,2,3,1.287723495659769,5,-0.35999999999999943,0.8048873068582092,0.13714560256522557,0.05796709057656523
H,14,6,2014-09-27,crystal_palace,leicester,0,1,-8,-3,0.3322236213718295,1,0.5399999999999991,0.367667822570625,0.28047802464673394,0.3518541527826411
A,14,6,2014-09-27,hull,man_city,-1,0,-4,-2,-0.8378304794314548,-8,-1.9100000000000001,0.1339086859688196,0.20378619153674835,0.6623051224944322
D,14,6,2014-09-27,liverpool,everton,1,0,3,1,-0.09818156743207242,2,-3.09,0.510547563541252,0.26565076476943195,0.22380167168931595
H,14,6,2014-09-27,man_united,west_ham,1,0,-4,-2,0.4997467683052322,6,-1.3599999999999994,0.7426326129666011,0.15127701375245578,0.10609037328094303
H,14,6,2014-09-27,southampton,queens_rangers,0,1,16,6,1.1444235752258485,-1,-1.3599999999999994,0.6252852618523984,0.22619766384983078,0.1485170742977709
D,14,6,2014-09-27,sunderland,swansea,0,0,-12,-5,0.01690366398243004,0,0.19000000000000128,0.3406232914160744,0.29196282121377803,0.36741388737014763
H,14,6,2014-09-28,west_brom,burnley,0,1,3,2,0.19014548036136567,5,-1.0899999999999999,0.5113132223092918,0.28373450486527174,0.20495227282543635
H,14,6,2014-09-29,stoke,newcastle,0,0,7,2,0.27831581543911016,-2,1.0899999999999999,0.45147347602142085,0.290711407408452,0.2578151165701272
A,14,7,2014-10-04,aston_villa,man_city,-1,0,-3,-1,-1.2641734802585678,-4,-1.7300000000000004,0.1127807605553261,0.1962385233662674,0.6909807160784064
