result,season,matchweek,date,hometeam,awayteam,maxo_h,maxo_d,maxo_a,market_tracktake,diff_home,diff_draw,diff_away
D,14,4,2014-09-13,sunderland,tottenham,3.75,3.5,2.15,0.017497231450719797,-0.026562073000950592,0.028977968722828207,-0.0014840984991921768
A,14,4,2014-09-13,west_brom,everton,3.6,3.5,2.21,0.015980751274868865,0.021977406633388874,0.019605443156454516,-0.024888421185597864
H,14,4,2014-09-14,man_united,queens_rangers,1.33,6.33,13.29,-0.0148978728850091,-0.002462672444615288,0.013296211087065357,-0.0017120800235802536
D,14,4,2014-09-15,hull,west_ham,2.3,3.4,3.91,-0.01534526854219953,0.017906145577033517,0.012942391333786496,-0.04488451719595543
A,14,5,2014-09-20,aston_villa,arsenal,4.75,3.7,1.88,0.012711479676765114,0.10020693454854479,0.0389634042087148,-0.0528305576000071
D,14,5,2014-09-20,burnley,sunderland,2.6,3.36,3.12,0.0027472527472527375,0.043306273462763833,-0.03949183086321295,-0.013643432884537843
D,14,5,2014-09-20,newcastle,hull,2.25,3.4,3.86,-0.0023705509837785854,-0.009682632745787179,0.011420689619674462,0.004839569335367777
D,14,5,2014-09-20,queens_rangers,stoke,2.88,3.25,2.91,-0.001442858401621283,0,0,0
A,14,5,2014-09-20,swansea,southampton,2.6,3.34,3.18,-0.0015180089747934833,0.10550945049756644,0.026777434991234417,-0.129073888089563
H,14,5,2014-09-20,west_ham,liverpool,4.56,3.9,1.85,0.01624904256483206,0.14144838179662633,0.013828268079439487,-0.05343770479440313
A,14,5,2014-09-21,everton,crystal_palace,1.45,5.09,9.52,-0.008839156555515593,0.10066843558835603,-0.1316708739977478,-0.2552865999638322
H,14,5,2014-09-21,leicester,man_united,5.75,4.23,1.67,0.009122058073184558,-0.03761892523913801,-0.06893028003491797,0.042007514932772105
D,14,5,2014-09-21,man_city,chelsea,2.5,3.56,3.12,0.0014116969173150196,0.03771441809542986,-0.03084516192394582,-0.019176408020688873
A,14,5,2014-09-21,tottenham,west_brom,1.53,4.39,7.25,0.019316238526410956,-0.017573804059029752,0.0751188907835103,-0.029715236770245013
D,14,6,2014-09-27,arsenal,tottenham,1.8,3.9,5,0.011965811965811923,0.01416367537354346,0.00787522312668476,-0.045476946058360834
H,14,6,2014-09-27,chelsea,aston_villa,1.25,7.05,17,6.675010429704198e-4,-0.0036721154170726855,0.011873426044505031,0.02289662817180549
H,14,6,2014-09-27,crystal_palace,leicester,2.7,3.4,2.9,0.009315603636090408,0.009696144889095315,0.03686331019184941,-0.039517251091938155
A,14,6,2014-09-27,hull,man_city,6.79,4.32,1.57,0.01569956164808084,0.07848450708532506,0.11386852841517414,-0.050904922533816066
D,14,6,2014-09-27,liverpool,everton,1.96,3.81,4.33,0.003618155450793026,-0.02045567400533732,-0.03154303596295416,0.08410583356525625
H,14,6,2014-09-27,man_united,west_ham,1.4,5.5,8.41,0.015009960313170811,-0.05224774422751699,0.1888082272440268,0.09650766333724814
H,14,6,2014-09-27,southampton,queens_rangers,1.5,4.63,8.5,2.9644687248553403e-4,0.067543450709183,-0.06305956626894038,-0.18832849907620475
D,14,6,2014-09-27,sunderland,swansea,3,3.3,2.7,0.006734006734006703,-0.026845133632680374,0.040442148149167245,-0.007249388182285044
H,14,6,2014-09-28,west_brom,burnley,2.01,3.5,4.33,0.014173605742321183,-0.045723324306946145,-9.91605133834339e-4,0.11544293972236219
H,14,6,2014-09-29,stoke,newcastle,2.15,3.42,3.9,0.013924196298737312,0.01855452787386236,-0.014837327656322175,-0.015761282131391163
A,14,7,2014-10-04,aston_villa,man_city,8.05,4.57,1.55,-0.0117967264489649,0.08122297667365963,0.0945754372875276,-0.0401165077386918
H,14,7,2014-10-04,hull,crystal_palace,2.2,3.5,3.9,-0.0033300033300034393,0.029900662296018288,0.004466268939763873,-0.055088427993686406
D,14,7,2014-10-04,leicester,burnley,1.8,3.75,5.16,0.01602067183462519,-0.039725477794009256,0.08800796273010913,0.007102403629592802
H,14,7,2014-10-04,liverpool,west_brom,1.46,5,8,0.009931506849315097,0.012548422813661642,-0.019941751897791127,-0.03254552360435281
