date,hometeam,awayteam,fthg,ftag,ftr,referee,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,psch,pscd,psca,season
27/08/16,Everton,Stoke,1,0,H,M Oliver,21,8,9,1,14,11,9,2,2,1,0,0,1.73,3.6,5.25,1.72,3.75,5.0,1.7,3.6,4.7,1.74,3.79,5.55,1.75,3.6,4.75,1.73,3.8,5.5,1.68,4.2,5.39,16
27/08/16,Hull,Man United,0,1,A,J Moss,8,29,2,9,9,6,1,6,2,3,0,0,8.0,4.1,1.44,7.0,4.5,1.45,6.1,4.0,1.5,8.35,4.6,1.46,7.0,4.0,1.5,8.5,4.5,1.45,9.15,4.54,1.45,16
27/08/16,Leicester,Swansea,2,1,H,R East,13,9,6,3,14,10,4,6,2,2,0,0,1.73,3.6,5.25,1.72,3.75,5.0,1.75,3.5,4.5,1.71,3.88,5.57,1.73,3.6,5.0,1.73,3.75,5.5,1.69,4.12,5.37,16
27/08/16,Southampton,Sunderland,1,1,D,L Mason,16,5,7,2,15,8,5,5,2,2,0,0,1.57,3.6,6.5,1.6,3.9,6.0,1.65,3.6,5.1,1.61,4.03,6.63,1.62,3.6,6.0,1.62,4.0,6.5,1.48,4.75,7.45,16
27/08/16,Tottenham,Liverpool,1,1,D,R Madley,11,13,4,3,11,17,5,5,3,5,0,0,2.38,3.4,3.0,2.4,3.5,2.9,2.4,3.3,2.75,2.36,3.56,3.17,2.38,3.4,2.9,2.4,3.5,3.1,2.68,3.37,2.85,16
27/08/16,Watford,Arsenal,1,3,A,K Friend,14,10,6,7,18,15,3,2,6,1,0,0,5.0,3.75,1.73,5.0,3.75,1.72,4.5,3.5,1.75,5.47,3.91,1.72,4.6,3.75,1.73,5.25,3.9,1.73,6.0,4.16,1.63,16
28/08/16,Man City,West Ham,3,1,H,A Marriner,22,9,5,2,5,10,5,4,1,3,0,0,1.25,6.0,11.0,1.28,6.0,10.0,1.25,5.5,10.3,1.3,6.3,10.91,1.3,5.5,9.5,1.3,6.0,11.0,1.26,6.5,13.25,16
28/08/16,West Brom,Middlesbrough,0,0,D,A Taylor,13,7,2,2,12,11,5,4,1,3,0,0,2.6,3.1,2.9,2.5,3.1,3.1,2.5,3.2,2.75,2.6,3.09,3.2,2.6,2.9,3.0,2.63,3.0,3.2,2.65,3.1,3.12,16
10/09/16,Arsenal,Southampton,2,1,H,R Madley,17,11,2,5,10,8,6,1,2,5,0,0,1.57,4.2,6.5,1.55,4.2,6.0,1.55,3.9,5.6,1.6,4.35,6.15,1.62,3.5,6.5,1.57,4.33,6.5,1.63,4.17,6.05,16
10/09/16,Bournemouth,West Brom,1,0,H,K Friend,12,12,5,2,9,11,10,5,1,3,0,0,2.05,3.25,4.33,2.0,3.3,4.0,2.1,3.2,3.4,2.05,3.31,4.33,2.1,3.0,4.0,2.05,3.25,4.33,2.12,3.25,4.14,16
10/09/16,Burnley,Hull,1,1,D,P Tierney,13,11,2,3,13,3,5,9,2,0,0,0,2.45,3.1,3.4,2.4,3.1,3.2,2.5,3.2,2.75,2.44,3.21,3.36,2.3,3.1,3.3,2.4,3.2,3.4,2.55,3.14,3.23,16
10/09/16,Liverpool,Leicester,4,1,H,C Pawson,17,12,11,3,4,8,1,7,1,2,0,0,1.7,4.0,5.5,1.67,4.0,5.5,1.6,3.7,5.4,1.7,3.97,5.54,1.7,3.75,5.5,1.67,4.1,5.5,1.68,4.07,5.52,16
10/09/16,Man United,Man City,1,2,A,M Clattenburg,14,18,3,6,15,10,4,4,4,2,0,0,2.38,3.25,3.4,2.3,3.3,3.5,2.4,3.2,2.85,2.38,3.31,3.35,2.38,3.2,3.4,2.3,3.3,3.4,2.42,3.1,3.51,16
10/09/16,Middlesbrough,Crystal Palace,1,2,A,N Swarbrick,12,12,4,4,5,9,6,6,1,2,0,0,2.3,3.2,3.6,2.2,3.2,3.5,2.2,3.2,3.2,2.31,3.2,3.65,2.38,3.1,3.2,2.3,3.13,3.7,2.45,3.21,3.32,16
10/09/16,Stoke,Tottenham,0,4,A,A Taylor,15,20,2,8,13,18,10,8,3,2,0,0,4.6,3.75,1.85,4.6,3.6,1.8,4.0,3.45,1.85,4.34,3.82,1.89,4.8,3.2,1.85,4.75,3.6,1.87,4.27,3.68,1.94,16
10/09/16,West Ham,Watford,2,4,A,M Atkinson,19,13,4,8,10,15,4,4,2,2,0,0,1.91,3.6,4.5,1.83,3.5,4.5,1.8,3.5,4.2,1.9,3.6,4.62,1.91,3.2,4.5,1.93,3.5,4.5,1.9,3.76,4.4,16
11/09/16,Swansea,Chelsea,2,2,D,A Marriner,6,28,2,7,17,8,1,11,3,4,0,0,5.75,4.0,1.67,5.75,4.0,1.65,5.1,3.6,1.65,5.77,4.17,1.65,6.0,3.6,1.62,5.75,4.0,1.65,6.59,4.25,1.58,16
12/09/16,Sunderland,Everton,0,3,A,M Jones,11,20,2,9,11,8,5,4,1,1,0,0,3.8,3.5,2.1,3.8,3.5,2.1,3.3,3.3,2.1,3.75,3.6,2.1,3.75,3.2,2.1,3.7,3.4,2.15,3.67,3.51,2.16,16
16/09/16,Chelsea,Liverpool,1,2,A,M Atkinson,12,13,4,5,6,13,6,4,1,1,0,0,2.25,3.5,3.4,2.25,3.5,3.3,2.3,3.3,3.15,2.28,3.49,3.4,2.3,3.4,3.4,2.3,3.5,3.3,2.19,3.59,3.52,16
17/09/16,Everton,Middlesbrough,3,1,H,L Mason,11,7,6,0,5,15,6,3,2,1,0,0,1.67,3.8,6.0,1.65,3.8,5.5,1.7,3.7,5.0,1.65,3.99,6.19,1.7,3.2,6.0,1.65,4.0,6.0,1.65,3.89,6.35,16
17/09/16,Hull,Arsenal,1,4,A,R East,6,24,2,9,9,12,2,4,0,2,1,0,6.0,4.2,1.6,6.0,4.0,1.57,5.5,4.0,1.6,6.03,4.2,1.6,6.0,3.6,1.62,6.5,4.1,1.6,6.12,4.19,1.62,16
17/09/16,Leicester,Burnley,3,0,H,A Taylor,14,7,6,2,10,9,7,1,0,1,0,0,1.5,4.33,8.0,1.53,4.1,6.5,1.6,4.0,5.5,1.46,4.49,8.87,1.5,3.75,8.0,1.45,4.6,8.5,1.5,4.6,7.32,16
17/09/16,Man City,Bournemouth,4,0,H,J Moss,20,6,12,2,8,11,5,5,1,1,1,0,1.29,6.0,12.0,1.26,6.25,10.0,1.25,6.0,11.0,1.28,6.24,12.78,1.29,5.0,12.0,1.29,6.25,12.0,1.25,6.95,13.05,16
17/09/16,West Brom,West Ham,4,2,H,M Clattenburg,8,23,6,5,14,6,2,6,2,1,0,0,2.8,3.2,2.8,2.75,3.1,2.75,2.6,3.25,2.75,2.9,3.19,2.76,2.7,3.1,2.7,2.8,3.2,2.8,2.91,3.23,2.72,16
18/09/16,Crystal Palace,Stoke,4,1,H,C Pawson,14,11,8,4,15,9,10,5,2,1,0,0,2.0,3.5,4.2,2.0,3.4,3.9,2.1,3.4,3.5,2.09,3.37,4.08,2.05,3.1,4.0,2.05,3.4,4.0,2.12,3.41,3.92,16
18/09/16,Southampton,Swansea,1,0,H,M Jones,19,9,6,3,14,9,7,1,1,1,0,0,1.7,3.8,5.75,1.65,3.6,5.25,1.7,3.7,5.0,1.68,3.84,6.17,1.7,3.4,5.5,1.7,3.8,5.5,1.67,4.06,5.74,16
18/09/16,Tottenham,Sunderland,1,0,H,M Dean,31,6,9,2,7,16,14,1,1,5,0,1,1.33,5.5,11.0,1.28,5.5,9.25,1.35,5.3,8.0,1.35,5.52,10.26,1.33,4.33,12.0,1.33,5.5,10.0,1.34,5.75,9.75,16
18/09/16,Watford,Man United,3,1,H,M Oliver,10,15,5,2,14,19,5,7,3,4,0,0,6.0,4.2,1.62,5.5,4.0,1.62,5.5,4.0,1.6,5.8,4.12,1.65,6.0,3.6,1.62,6.0,4.1,1.62,6.5,4.27,1.58,16
