date,hometeam,awayteam,fthg,ftag,ftr,referee,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,psch,pscd,psca,season
16/08/2014,Arsenal,Crystal Palace,2,1,H,J Moss,14,4,6,2,13,19,9,3,2,2,0,1,1.25,6.5,15,1.25,5.5,12,1.3,5,9,1.26,6.45,14.01,1.25,5.5,12,1.25,6.25,10.5,1.29,5.9,12.75,14
16/08/2014,Leicester,Everton,2,2,D,M Jones,11,13,3,3,16,10,3,6,1,1,0,0,3.2,3.4,2.4,2.9,3.2,2.4,2.9,3.3,2.3,3.14,3.38,2.46,3.1,3.1,2.4,3.2,3.4,2.4,3.11,3.4,2.47,14
16/08/2014,Man United,Swansea,1,2,A,M Dean,14,5,5,4,14,20,4,0,2,4,0,0,1.36,5,11,1.4,4.75,9,1.33,5,8,1.37,5.1,10.6,1.36,4.5,9,1.36,5.2,10,1.45,4.81,8.25,14
16/08/2014,QPR,Hull,0,1,A,C Pawson,19,11,6,4,10,10,8,9,1,2,0,0,2.5,3.3,3.1,2.5,3.1,2.85,2.3,3.3,2.9,2.48,3.26,3.22,2.6,3,2.9,2.55,3.2,3.12,2.31,3.24,3.59,14
16/08/2014,Stoke,Aston Villa,0,1,A,A Taylor,12,7,2,2,14,9,2,8,0,3,0,0,1.95,3.5,4.5,1.95,3.3,3.9,2,3.3,3.6,1.95,3.47,4.55,1.95,3.2,4.2,1.95,3.3,4.75,2.01,3.34,4.51,14
16/08/2014,West Brom,Sunderland,2,2,D,N Swarbrick,10,7,5,2,18,9,6,3,3,1,0,0,2.25,3.4,3.5,2.3,3.25,3.1,2.2,3.3,3.1,2.21,3.34,3.73,2.3,3.1,3.3,2.25,3.3,3.6,2.09,3.42,4.03,14
16/08/2014,West Ham,Tottenham,0,1,A,C Foy,18,10,4,4,12,10,8,5,1,0,1,1,3.8,3.6,2.05,3.5,3.4,2.05,3.1,3.3,2.2,3.96,3.55,2.06,3.75,3.3,2.05,4,3.5,2.05,3.92,3.67,2.03,14
17/08/2014,Liverpool,Southampton,2,1,H,M Clattenburg,12,12,5,6,8,11,2,6,1,2,0,0,1.33,5.75,10,1.36,4.5,8.75,1.35,4.8,7.6,1.35,5.48,10.3,1.36,4.5,9,1.36,5.25,10,1.43,4.83,8.75,14
17/08/2014,Newcastle,Man City,0,2,A,M Atkinson,12,13,0,5,8,11,3,3,1,5,0,0,5.25,4.33,1.67,4.75,3.8,1.67,4.9,3.7,1.65,5.8,4.28,1.63,5,3.75,1.67,5.5,4.1,1.67,5.55,4.38,1.63,14
18/08/2014,Burnley,Chelsea,1,3,A,M Oliver,9,11,2,3,6,7,4,3,1,1,0,0,9,5,1.4,7.5,4.6,1.4,6.8,4.6,1.4,9.77,4.81,1.41,9,4.2,1.4,10,4.8,1.4,9.25,5.01,1.4,14
23/08/2014,Aston Villa,Newcastle,0,0,D,M Dean,9,11,0,4,11,8,7,7,4,0,0,1,2.5,3.4,3,2.6,3.25,2.9,2.3,3.3,2.9,2.56,3.36,3.01,2.45,3.25,2.9,2.5,3.3,3.1,2.67,3.33,2.89,14
23/08/2014,Chelsea,Leicester,2,0,H,L Mason,27,6,10,4,11,11,8,7,0,1,0,0,1.2,7.5,17,1.25,6.25,12.5,1.22,5.5,12,1.21,7.28,17.7,1.22,5.5,15,1.22,7,17,1.2,7.56,18.26,14
23/08/2014,Crystal Palace,West Ham,1,3,A,M Clattenburg,9,17,4,8,14,11,6,9,1,3,0,0,2.5,3.3,3.1,2.5,3,2.95,2.3,3.3,2.9,2.44,3.25,3.3,2.5,3.2,2.8,2.5,3.2,3.2,2.62,3.42,2.94,14
23/08/2014,Everton,Arsenal,2,2,D,K Friend,8,13,2,3,10,18,3,3,1,4,0,0,2.8,3.4,2.7,2.75,3.25,2.7,2.75,3.3,2.4,2.72,3.45,2.76,2.7,3.1,2.7,2.7,3.4,2.8,2.66,3.48,2.82,14
23/08/2014,Southampton,West Brom,0,0,D,R East,8,8,2,2,14,15,1,5,1,2,0,0,1.85,3.7,4.75,1.87,3.75,4.2,1.95,3.35,3.7,1.86,3.76,4.62,1.91,3.2,4.5,1.87,3.7,4.5,1.68,4.07,5.63,14
23/08/2014,Swansea,Burnley,1,0,H,C Pawson,10,12,5,1,14,13,2,3,2,1,0,0,1.65,4,6,1.7,3.6,5.75,1.7,3.6,4.7,1.64,4.13,5.98,1.67,3.4,6,1.65,4,6,1.68,3.89,5.99,14
24/08/2014,Hull,Stoke,1,1,D,J Moss,9,19,2,3,10,10,4,5,1,3,1,0,2.5,3.25,3.2,2.55,3.2,2.95,2.3,3.3,2.9,2.48,3.18,3.31,2.5,3.2,2.8,2.5,3.1,3.3,2.46,3.24,3.28,14
24/08/2014,Sunderland,Man United,1,1,D,M Atkinson,11,10,3,3,10,15,4,4,0,2,0,0,5,4,1.75,4.4,3.75,1.83,4.9,3.7,1.65,4.95,3.93,1.79,4.5,3.5,1.8,5,3.9,1.75,5.54,4.35,1.64,14
