date,hometeam,awayteam,fthg,ftag,ftr,referee,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,b365h,b365d,b365a,bwh,bwd,bwa,iwh,iwd,iwa,psh,psd,psa,whh,whd,wha,vch,vcd,vca,psch,pscd,psca,season
17/08/13,Arsenal,Aston Villa,1,3,A,A Taylor,16,9,4,4,15,18,4,3,4,5,1,0,1.44,4.75,8.0,1.36,5.0,7.75,1.37,4.6,7.5,1.41,5.2,8.3,1.36,4.8,8.5,1.44,4.8,7.5,1.44,5.0,8.05,13
17/08/13,Liverpool,Stoke,1,0,H,M Atkinson,26,10,11,4,11,11,12,6,1,1,0,0,1.4,5.0,9.5,1.4,4.33,8.25,1.4,4.4,7.3,1.41,4.88,9.35,1.36,4.6,9.0,1.4,5.0,9.5,1.42,4.62,10.19,13
17/08/13,Norwich,Everton,2,2,D,M Oliver,8,19,2,6,13,10,6,8,2,0,0,0,3.2,3.4,2.4,3.1,3.25,2.3,2.9,3.3,2.3,3.32,3.41,2.35,3.1,3.3,2.3,3.12,3.4,2.4,3.81,3.27,2.21,13
17/08/13,Sunderland,Fulham,0,1,A,N Swarbrick,20,5,3,1,14,14,6,1,0,3,0,0,2.3,3.4,3.4,2.25,3.2,3.25,2.2,3.2,3.2,2.25,3.37,3.58,2.2,3.3,3.3,2.3,3.4,3.3,2.52,3.23,3.16,13
17/08/13,Swansea,Man United,1,4,A,P Dowd,17,15,6,7,13,10,7,4,1,3,0,0,4.2,3.5,2.0,4.1,3.5,1.87,4.2,3.5,1.8,4.1,3.52,2.03,4.0,3.4,1.91,3.8,3.6,2.05,3.62,3.41,2.22,13
17/08/13,West Brom,Southampton,0,1,A,K Friend,11,7,1,2,14,24,4,8,4,0,0,0,2.4,3.4,3.2,2.3,3.25,3.1,2.2,3.3,3.1,2.42,3.38,3.21,2.25,3.3,3.2,2.4,3.4,3.12,2.56,3.3,3.06,13
17/08/13,West Ham,Cardiff,2,0,H,H Webb,18,12,4,1,10,7,4,3,0,1,0,0,2.0,3.6,4.0,1.91,3.4,4.0,1.9,3.45,3.8,1.99,3.57,4.21,1.95,3.5,3.8,2.0,3.6,4.0,2.17,3.36,3.84,13
18/08/13,Chelsea,Hull,2,0,H,J Moss,22,7,5,2,7,16,5,1,0,1,0,0,1.2,7.0,21.0,1.19,6.25,15.0,1.2,5.8,13.0,1.2,7.4,19.5,1.2,6.0,15.0,1.22,6.5,15.0,1.23,6.8,16.25,13
18/08/13,Crystal Palace,Tottenham,0,1,A,M Clattenburg,5,17,3,2,6,9,3,7,1,0,0,0,4.75,3.75,1.83,4.75,3.7,1.72,4.2,3.5,1.8,5.16,3.69,1.8,4.75,3.6,1.75,4.5,3.75,1.85,6.73,3.88,1.63,13
19/08/13,Man City,Newcastle,4,0,H,A Marriner,20,5,11,1,9,7,8,1,2,3,0,1,1.33,5.5,11.0,1.3,5.25,9.75,1.3,5.0,9.0,1.31,5.86,11.66,1.29,5.5,10.0,1.33,5.5,10.5,1.26,6.41,14.02,13
21/08/13,Chelsea,Aston Villa,2,1,H,K Friend,15,7,3,3,12,13,1,2,1,4,0,0,1.29,5.5,10.0,1.28,5.25,10.0,1.3,5.0,9.0,1.3,5.89,11.9,1.3,5.5,9.5,1.29,5.75,12.0,1.28,6.48,12.18,13
24/08/13,Aston Villa,Liverpool,0,1,A,M Clattenburg,17,5,3,1,9,8,8,2,3,3,0,0,4.0,3.75,1.95,3.8,3.6,1.91,3.6,3.3,2.0,4.18,3.83,1.93,3.75,3.6,1.95,3.9,3.8,1.95,4.28,4.04,1.85,13
24/08/13,Everton,West Brom,0,0,D,R East,22,7,8,2,14,15,11,1,1,1,0,0,1.57,4.33,6.5,1.53,4.1,6.0,1.55,3.9,5.6,1.55,4.33,7.01,1.55,4.0,6.0,1.6,4.2,6.0,1.58,4.13,6.88,13
24/08/13,Fulham,Arsenal,1,3,A,H Webb,16,18,7,7,10,8,1,8,2,2,0,0,3.8,3.5,2.1,3.6,3.5,2.0,3.3,3.3,2.1,3.7,3.58,2.13,3.4,3.5,2.1,3.5,3.5,2.15,4.78,3.6,1.88,13
24/08/13,Hull,Norwich,1,0,H,M Jones,6,13,1,4,14,19,1,5,1,1,1,0,2.45,3.4,3.1,2.4,3.25,2.95,2.4,3.3,2.75,2.44,3.4,3.15,2.4,3.1,3.1,2.5,3.25,3.1,2.37,3.3,3.36,13
24/08/13,Newcastle,West Ham,0,0,D,P Dowd,16,6,0,1,12,14,5,4,0,1,0,0,2.3,3.4,3.4,2.25,3.2,3.25,2.1,3.3,3.3,2.31,3.4,3.41,2.2,3.3,3.3,2.3,3.4,3.3,2.22,3.48,3.57,13
24/08/13,Southampton,Sunderland,1,1,D,L Mason,17,8,6,3,12,13,5,2,2,2,0,0,1.73,3.8,5.5,1.65,3.8,5.0,1.85,3.45,4.0,1.68,4.01,5.57,1.67,3.6,5.5,1.75,3.6,5.0,1.65,4.01,6.15,13
24/08/13,Stoke,Crystal Palace,2,1,H,A Marriner,14,14,5,5,13,6,7,0,3,0,0,0,1.83,3.6,5.0,1.8,3.4,4.6,1.8,3.5,4.2,1.81,3.65,5.16,1.85,3.3,4.6,1.85,3.5,4.8,2.0,3.48,4.28,13
25/08/13,Cardiff,Man City,3,2,H,L Probert,9,16,6,5,2,9,3,8,0,0,0,0,8.5,4.75,1.44,8.25,4.2,1.42,7.0,4.0,1.45,7.99,4.75,1.46,7.5,4.5,1.4,7.5,4.75,1.45,8.67,4.91,1.43,13
25/08/13,Tottenham,Swansea,1,0,H,N Swarbrick,19,7,5,5,10,15,8,3,1,4,0,0,1.62,4.0,6.5,1.57,3.75,6.25,1.5,4.0,6.1,1.62,4.04,6.45,1.65,4.0,5.0,1.65,4.0,5.75,1.78,3.67,5.4,13
26/08/13,Man United,Chelsea,0,0,D,M Atkinson,13,8,3,4,9,9,4,1,0,2,0,0,2.45,3.4,3.1,2.3,3.4,3.0,2.2,3.2,3.2,2.48,3.51,3.02,2.4,3.5,2.8,2.5,3.5,2.9,2.34,3.37,3.4,13
31/08/13,Cardiff,Everton,0,0,D,A Taylor,4,13,1,3,11,9,4,5,1,1,0,0,3.25,3.4,2.38,3.1,3.25,2.3,3.1,3.3,2.2,3.33,3.35,2.37,3.2,3.3,2.25,3.25,3.4,2.38,3.65,3.37,2.23,13
31/08/13,Crystal Palace,Sunderland,3,1,H,L Probert,17,10,6,2,6,6,6,6,1,0,0,1,2.6,3.3,3.0,2.55,3.25,2.75,2.4,3.2,2.85,2.54,3.31,3.09,2.45,3.25,2.9,2.6,3.25,3.0,2.48,3.24,3.26,13
31/08/13,Man City,Hull,2,0,H,P Dowd,12,7,6,2,15,14,7,4,2,3,0,0,1.17,8.5,19.0,1.16,7.25,15.5,1.2,5.8,13.0,1.19,8.04,18.58,1.17,7.0,17.0,1.18,8.0,19.0,1.18,7.84,21.01,13
31/08/13,Newcastle,Fulham,1,0,H,C Foy,24,3,9,2,13,9,13,2,2,2,0,0,2.15,3.4,3.75,2.05,3.3,3.6,2.1,3.3,3.3,2.15,3.49,3.73,2.05,3.5,3.5,2.15,3.5,3.6,2.12,3.39,3.94,13
31/08/13,Norwich,Southampton,1,0,H,H Webb,15,11,4,2,11,15,5,5,0,0,0,0,3.0,3.3,2.55,2.85,3.25,2.45,2.6,3.2,2.6,3.06,3.35,2.53,2.8,3.3,2.5,2.9,3.4,2.6,2.97,3.28,2.58,13
31/08/13,West Ham,Stoke,0,1,A,J Moss,9,15,0,5,10,12,3,4,2,1,0,0,2.0,3.4,4.33,1.91,3.5,3.9,1.9,3.45,3.8,2.05,3.51,4.03,1.95,3.4,4.0,1.95,3.5,4.33,1.98,3.44,4.42,13
01/09/13,Arsenal,Tottenham,1,0,H,M Oliver,12,14,5,4,15,14,3,6,2,2,0,0,2.1,3.7,3.6,2.0,3.5,3.6,2.0,3.4,3.5,2.15,3.7,3.52,2.1,3.3,3.5,2.1,3.7,3.5,2.18,3.35,3.79,13
01/09/13,Liverpool,Man United,1,0,H,A Marriner,10,10,5,4,15,15,2,7,2,4,0,0,2.63,3.4,2.88,2.6,3.3,2.65,2.6,3.2,2.6,2.59,3.36,2.98,2.6,3.2,2.8,2.62,3.4,2.88,2.38,3.09,3.62,13
01/09/13,West Brom,Swansea,0,2,A,M Dean,10,12,1,4,10,14,2,3,4,3,0,0,2.7,3.4,2.8,2.55,3.4,2.65,2.3,3.3,2.9,2.67,3.47,2.8,2.5,3.4,2.75,2.7,3.4,2.75,2.72,3.37,2.81,13
14/09/13,Aston Villa,Newcastle,1,2,A,M Dean,10,17,1,8,9,11,4,2,1,4,0,0,2.15,3.4,3.8,2.1,3.3,3.5,2.2,3.3,3.1,2.13,3.49,3.79,2.2,3.1,3.5,2.15,3.4,3.6,2.14,3.49,3.76,13
14/09/13,Everton,Chelsea,1,0,H,H Webb,11,22,5,5,10,12,5,7,0,4,0,0,3.4,3.3,2.35,3.4,3.4,2.2,3.6,3.3,2.0,3.27,3.38,2.39,3.4,3.1,2.4,3.3,3.4,2.3,3.42,3.49,2.26,13
14/09/13,Fulham,West Brom,1,1,D,L Probert,12,12,2,4,9,12,4,5,0,1,0,0,2.15,3.5,3.6,2.15,3.4,3.6,2.1,3.3,3.3,2.14,3.54,3.69,2.2,3.1,3.5,2.15,3.5,3.7,2.24,3.55,3.43,13
