h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda.att,ppda.def,ppda_allowed.att,ppda_allowed.def,team_id,team_name,league_name,year
a,0.715382,0.891038,0.715382,0.891038,2,4,2,2,1.1703999999999999,d,2018-08-11,0,1,0,1,-0.17565600000000003,312,20,228,9,72,Everton,EPL,2018
h,2.02004,1.77471,2.02004,1.77471,4,7,2,1,1.564,w,2018-08-18,1,0,0,3,0.24532999999999983,137,27,216,22,72,Everton,EPL,2018
a,0.543665,2.5887,0.543665,1.82753,4,11,2,2,0.18460000000000001,d,2018-08-25,0,1,0,1,-1.283865,208,22,187,20,72,Everton,EPL,2018
h,0.616013,0.660035,0.616013,0.660035,2,1,1,1,1.2222,d,2018-09-01,0,1,0,1,-0.044022000000000006,179,21,271,29,72,Everton,EPL,2018
h,1.26774,1.52437,1.26774,1.52437,5,7,1,3,1.1214,l,2018-09-16,0,0,1,0,-0.2566299999999999,179,27,244,22,72,Everton,EPL,2018
a,1.06523,0.930544,1.06523,0.930544,5,15,0,2,1.4826,l,2018-09-23,0,0,1,0,0.13468599999999986,309,18,151,31,72,Everton,EPL,2018
h,2.31538,0.536317,1.55432,0.536317,7,6,3,0,2.649,w,2018-09-29,1,0,0,3,1.0180029999999998,216,26,230,23,72,Everton,EPL,2018
a,1.14952,1.10472,1.14952,1.10472,6,2,2,1,1.3692,w,2018-10-06,1,0,0,3,0.04480000000000017,263,20,212,17,72,Everton,EPL,2018
h,1.92794,1.50174,1.92794,0.740567,10,5,2,0,1.6654,w,2018-10-21,1,0,0,3,1.187373,176,20,266,30,72,Everton,EPL,2018
a,1.67348,2.51393,0.912308,1.64513,6,5,1,2,0.7351,l,2018-10-28,0,0,1,0,-0.732822,268,25,239,27,72,Everton,EPL,2018
h,2.59305,0.676348,2.59305,0.676348,10,0,3,1,2.6790999999999996,w,2018-11-03,1,0,0,3,1.916702,178,28,286,26,72,Everton,EPL,2018
a,0.198027,1.16298,0.198027,1.16298,0,7,0,0,0.4373,d,2018-11-11,0,1,0,1,-0.964953,431,25,171,25,72,Everton,EPL,2018
h,2.48066,0.879108,2.48066,0.879108,5,1,1,0,2.515,w,2018-11-24,1,0,0,3,1.6015519999999999,81,18,282,14,72,Everton,EPL,2018
a,1.23014,3.07574,1.23014,3.07574,5,8,0,1,0.2555,l,2018-12-02,0,0,1,0,-1.8456000000000001,305,18,208,34,72,Everton,EPL,2018
h,2.10943,1.52214,2.10943,1.52214,5,4,1,1,1.8094999999999999,d,2018-12-05,0,1,0,1,0.5872900000000001,102,16,332,27,72,Everton,EPL,2018
h,1.72686,1.63043,0.965692,1.63043,9,5,2,2,1.44,d,2018-12-10,0,1,0,1,-0.664738,143,20,206,28,72,Everton,EPL,2018
a,1.6235,1.79848,1.6235,1.79848,4,6,1,3,1.2283,l,2018-12-15,0,0,1,0,-0.17498000000000014,411,17,208,24,72,Everton,EPL,2018
h,1.00121,2.55514,1.00121,2.55514,3,5,2,6,0.3945000000000001,l,2018-12-23,0,0,1,0,-1.5539300000000003,417,28,213,20,72,Everton,EPL,2018
a,1.8875,1.88646,1.12637,1.88646,6,3,5,1,1.3337,w,2018-12-26,1,0,0,3,-0.7600899999999999,202,16,231,23,72,Everton,EPL,2018
a,0.655851,1.60311,0.655851,1.60311,5,4,0,1,0.5871,l,2018-12-29,0,0,1,0,-0.9472590000000001,169,13,240,26,72,Everton,EPL,2018
h,0.871304,0.644144,0.871304,0.644144,10,2,0,1,1.5005,l,2019-01-01,0,0,1,0,0.22715999999999992,175,31,265,18,72,Everton,EPL,2018
h,1.7814,1.52828,1.7814,1.52828,6,8,2,0,1.5785,w,2019-01-13,1,0,0,3,0.25312,171,28,200,18,72,Everton,EPL,2018
a,1.31169,1.06009,1.31169,1.06009,9,4,1,2,1.5991,l,2019-01-19,0,0,1,0,0.25160000000000005,150,20,232,29,72,Everton,EPL,2018
a,1.05995,0.73078,1.05995,0.73078,3,2,1,0,1.6769,w,2019-01-29,1,0,0,3,0.32916999999999996,281,28,206,21,72,Everton,EPL,2018
h,1.36252,1.85729,1.36252,1.09612,6,2,1,3,0.9549000000000001,l,2019-02-02,0,0,1,0,0.26639999999999997,149,21,298,24,72,Everton,EPL,2018
h,0.111559,2.60922,0.111559,2.60922,4,15,0,2,0.0482,l,2019-02-06,0,0,1,0,-2.497661,313,20,160,20,72,Everton,EPL,2018
a,0.641094,1.53311,0.641094,1.53311,3,7,0,1,0.5437000000000001,l,2019-02-09,0,0,1,0,-0.8920159999999999,125,22,232,37,72,Everton,EPL,2018
a,1.14212,0.219359,1.14212,0.219359,5,5,3,0,2.2285,w,2019-02-26,1,0,0,3,0.922761,88,18,267,32,72,Everton,EPL,2018
h,0.241879,0.811272,0.241879,0.811272,1,11,0,0,0.6653,d,2019-03-03,0,1,0,1,-0.569393,276,19,159,23,72,Everton,EPL,2018
a,1.15114,2.37896,1.15114,1.61779,10,7,2,3,0.5185,l,2019-03-09,0,0,1,0,-0.46665,177,27,225,23,72,Everton,EPL,2018
h,2.24031,1.24394,1.34105,1.24394,3,12,2,0,2.176,w,2019-03-17,1,0,0,3,0.09711000000000003,360,27,176,21,72,Everton,EPL,2018
a,2.65983,0.0891639,2.65983,0.0891639,12,2,2,0,2.912,w,2019-03-30,1,0,0,3,2.5706661,257,34,227,19,72,Everton,EPL,2018
h,2.69396,0.201885,2.69396,0.201885,6,3,1,0,2.855,w,2019-04-07,1,0,0,3,2.4920750000000003,301,31,179,16,72,Everton,EPL,2018
a,1.29107,1.66303,1.29107,1.66303,7,6,0,2,1.0792000000000002,l,2019-04-13,0,0,1,0,-0.37196000000000007,194,36,268,21,72,Everton,EPL,2018
h,1.5204,0.305982,1.5204,0.305982,1,5,4,0,2.4213999999999998,w,2019-04-21,1,0,0,3,1.214418,249,15,217,9,72,Everton,EPL,2018
a,1.15217,0.261344,1.15217,0.261344,8,5,0,0,2.1304,d,2019-04-27,0,1,0,1,0.8908259999999999,137,28,280,22,72,Everton,EPL,2018
h,1.76461,0.473292,1.76461,0.473292,7,3,2,0,2.4570999999999996,w,2019-05-03,1,0,0,3,1.291318,192,26,297,22,72,Everton,EPL,2018
a,2.06851,0.882608,2.06851,0.882608,7,5,2,2,2.3487,d,2019-05-12,0,1,0,1,1.185902,351,24,263,18,72,Everton,EPL,2018
