h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda.att,ppda.def,ppda_allowed.att,ppda_allowed.def,team_id,team_name,league_name,year
a,0.639599,2.57262,0.639599,2.57262,2,15,1,3,0.2794,l,2019-08-10,0,0,1,0,-1.933021,255,19,147,28,71,Aston Villa,EPL,2019
h,1.65069,1.62777,1.65069,0.866605,12,9,1,2,1.3698,l,2019-08-17,0,0,1,0,0.784085,117,9,268,25,71,Aston Villa,EPL,2019
h,0.855926,1.25668,0.855926,1.25668,6,12,2,0,0.9697,w,2019-08-23,1,0,0,3,-0.40075400000000005,265,20,146,27,71,Aston Villa,EPL,2019
a,0.30354,1.41394,0.30354,1.41394,5,13,0,1,0.4799,l,2019-08-31,0,0,1,0,-1.1104,226,25,216,24,71,Aston Villa,EPL,2019
h,1.40502,0.535279,1.40502,0.535279,4,9,0,0,2.1614999999999998,d,2019-09-16,0,1,0,1,0.869741,213,22,222,22,71,Aston Villa,EPL,2019
a,1.71546,2.53209,1.71546,1.77093,8,12,2,3,0.8444,l,2019-09-22,0,0,1,0,-0.05546999999999991,242,22,182,20,71,Aston Villa,EPL,2019
h,0.914266,1.66919,0.914266,1.66919,3,2,2,2,0.7663,d,2019-09-28,0,1,0,1,-0.7549239999999999,121,20,199,22,71,Aston Villa,EPL,2019
a,3.67827,1.84838,2.76412,1.84838,9,13,5,1,2.472,w,2019-10-05,1,0,0,3,0.9157400000000002,220,25,145,24,71,Aston Villa,EPL,2019
h,2.96692,1.32184,2.96692,1.32184,7,10,2,1,2.4098,w,2019-10-19,1,0,0,3,1.64508,271,18,200,21,71,Aston Villa,EPL,2019
a,0.980145,3.19004,0.980145,3.19004,3,18,0,3,0.2449,l,2019-10-26,0,0,1,0,-2.2098950000000004,267,10,194,24,71,Aston Villa,EPL,2019
h,0.741615,2.38824,0.741615,2.38824,2,16,1,2,0.3756,l,2019-11-02,0,0,1,0,-1.6466250000000002,293,14,88,20,71,Aston Villa,EPL,2019
a,0.473225,2.09891,0.473225,2.09891,0,8,1,2,0.31610000000000005,l,2019-11-10,0,0,1,0,-1.625685,189,30,211,32,71,Aston Villa,EPL,2019
h,2.6985,0.69784,2.6985,0.69784,14,3,2,0,2.6628,w,2019-11-25,1,0,0,3,2.00066,154,21,264,15,71,Aston Villa,EPL,2019
a,1.29701,1.84804,1.29701,1.84804,3,13,2,2,0.9371999999999999,d,2019-12-01,0,1,0,1,-0.5510299999999999,276,23,153,23,71,Aston Villa,EPL,2019
a,0.86086,1.9774,0.86086,1.9774,2,14,1,2,0.6134,l,2019-12-04,0,0,1,0,-1.11654,389,28,181,26,71,Aston Villa,EPL,2019
h,1.24141,4.03286,1.24141,4.03286,12,17,1,4,0.1341,l,2019-12-08,0,0,1,0,-2.79145,234,27,116,27,71,Aston Villa,EPL,2019
a,0.97258,1.888,0.211411,1.888,1,13,0,2,0.591,l,2019-12-14,0,0,1,0,-1.6765889999999999,217,20,192,24,71,Aston Villa,EPL,2019
h,0.921054,2.63444,0.921054,2.63444,6,5,1,3,0.3435,l,2019-12-21,0,0,1,0,-1.713386,167,16,216,18,71,Aston Villa,EPL,2019
h,0.654194,1.45005,0.654194,1.45005,4,3,1,0,0.7351000000000001,w,2019-12-26,1,0,0,3,-0.795856,265,23,166,18,71,Aston Villa,EPL,2019
a,0.610997,3.25314,0.610997,2.49197,6,8,0,3,0.1056,l,2019-12-28,0,0,1,0,-1.8809729999999998,208,13,219,25,71,Aston Villa,EPL,2019
a,1.74824,2.34418,1.74824,2.34418,5,9,2,1,0.9398,w,2020-01-01,1,0,0,3,-0.5959400000000001,265,10,143,18,71,Aston Villa,EPL,2019
h,1.12565,3.75131,0.364481,3.75131,1,20,1,6,0.1611,l,2020-01-12,0,0,1,0,-3.386829,549,16,229,30,71,Aston Villa,EPL,2019
a,1.02045,1.30028,1.02045,1.30028,4,7,1,1,1.0922,d,2020-01-18,0,1,0,1,-0.27983,291,27,210,29,71,Aston Villa,EPL,2019
h,1.06739,1.81101,1.06739,1.81101,6,1,2,1,0.7277,w,2020-01-21,1,0,0,3,-0.74362,142,23,306,33,71,Aston Villa,EPL,2019
a,1.40955,2.72236,1.40955,2.72236,7,8,1,2,0.5550999999999999,l,2020-02-01,0,0,1,0,-1.31281,107,14,220,22,71,Aston Villa,EPL,2019
h,1.71313,3.86024,1.71313,2.95505,8,9,2,3,0.3377,l,2020-02-16,0,0,1,0,-1.24192,199,21,253,29,71,Aston Villa,EPL,2019
a,0.47235,3.02926,0.47235,3.02926,4,7,0,2,0.1382,l,2020-02-22,0,0,1,0,-2.55691,148,25,232,31,71,Aston Villa,EPL,2019
a,0.672448,2.41239,0.672448,1.65122,2,8,0,4,0.2673,l,2020-03-09,0,0,1,0,-0.9787719999999999,304,23,156,29,71,Aston Villa,EPL,2019
h,1.00877,0.235909,1.00877,0.235909,5,2,0,0,2.0802,d,2020-06-17,0,1,0,1,0.7728609999999999,227,14,214,27,71,Aston Villa,EPL,2019
h,1.57223,1.14011,1.57223,1.14011,0,10,1,2,1.7817,l,2020-06-21,0,0,1,0,0.43212000000000006,336,15,98,16,71,Aston Villa,EPL,2019
a,1.22985,0.661808,1.22985,0.661808,8,3,1,1,1.8679999999999999,d,2020-06-24,0,1,0,1,0.5680420000000002,228,23,161,17,71,Aston Villa,EPL,2019
h,0.403418,0.703549,0.403418,0.703549,3,5,0,1,0.9678,l,2020-06-27,0,0,1,0,-0.300131,201,23,235,14,71,Aston Villa,EPL,2019
a,0.689775,1.0837,0.689775,1.0837,4,11,0,2,0.9176,l,2020-07-05,0,0,1,0,-0.3939250000000001,354,17,108,29,71,Aston Villa,EPL,2019
h,0.598873,2.86531,0.598873,2.10415,2,13,0,3,0.15410000000000001,l,2020-07-09,0,0,1,0,-1.5052770000000002,361,17,160,20,71,Aston Villa,EPL,2019
h,1.6977,0.974181,1.6977,0.974181,4,3,2,0,1.9465999999999999,w,2020-07-12,1,0,0,3,0.723519,232,26,149,20,71,Aston Villa,EPL,2019
a,1.52021,0.944434,1.52021,0.944434,6,6,1,1,1.8509,d,2020-07-16,0,1,0,1,0.5757760000000001,283,22,184,25,71,Aston Villa,EPL,2019
h,0.57408,0.737137,0.57408,0.737137,4,6,1,0,1.1377,w,2020-07-21,1,0,0,3,-0.163057,354,19,132,21,71,Aston Villa,EPL,2019
a,0.983594,0.781465,0.983594,0.781465,4,2,1,1,1.4911,d,2020-07-26,0,1,0,1,0.202129,234,22,130,18,71,Aston Villa,EPL,2019
a,1.2246,0.87159,1.2246,0.87159,5,5,0,0,1.6257,d,2019-08-10,0,1,0,1,0.35300999999999993,110,27,294,26,72,Everton,EPL,2019
h,0.832913,1.17279,0.832913,1.17279,4,3,1,0,1.0150000000000001,w,2019-08-17,1,0,0,3,-0.339877,195,22,157,40,72,Everton,EPL,2019
a,1.25668,0.855926,1.25668,0.855926,12,6,0,2,1.7245,l,2019-08-23,0,0,1,0,0.40075400000000005,146,27,265,20,72,Everton,EPL,2019
h,1.48842,2.00172,1.48842,2.00172,4,5,3,2,0.9823999999999999,w,2019-09-01,1,0,0,3,-0.5133000000000001,160,30,242,12,72,Everton,EPL,2019
a,1.50641,1.41542,1.50641,1.41542,9,3,1,3,1.4259,l,2019-09-15,0,0,1,0,0.09099000000000013,171,31,266,22,72,Everton,EPL,2019
h,1.26041,0.508011,1.26041,0.508011,9,2,0,2,1.9885999999999997,l,2019-09-21,0,0,1,0,0.752399,96,17,263,20,72,Everton,EPL,2019
h,2.35854,3.1082,2.35854,3.1082,6,13,1,3,0.9393,l,2019-09-28,0,0,1,0,-0.74966,392,12,204,21,72,Everton,EPL,2019
a,1.30723,0.558912,1.30723,0.558912,4,6,0,1,2.0524,l,2019-10-05,0,0,1,0,0.7483179999999999,156,20,273,14,72,Everton,EPL,2019
h,2.23324,0.459112,2.23324,0.459112,11,3,2,0,2.6186,w,2019-10-19,1,0,0,3,1.774128,183,32,191,19,72,Everton,EPL,2019
a,1.04723,1.15279,1.04723,0.391623,7,4,2,3,1.1805,l,2019-10-26,0,0,1,0,0.655607,327,28,237,28,72,Everton,EPL,2019
h,1.15532,0.243393,1.15532,0.243393,8,1,1,1,2.2648,d,2019-11-03,0,1,0,1,0.9119269999999999,281,25,184,18,72,Everton,EPL,2019
a,2.08883,0.742281,2.08883,0.742281,6,1,2,1,2.3575,w,2019-11-09,1,0,0,3,1.3465490000000002,202,31,169,17,72,Everton,EPL,2019
h,0.812693,1.80849,0.812693,1.80849,15,4,0,2,0.638,l,2019-11-23,0,0,1,0,-0.9957969999999999,137,23,189,23,72,Everton,EPL,2019
a,1.24986,2.24348,1.24986,2.24348,1,9,1,2,0.7024999999999999,l,2019-12-01,0,0,1,0,-0.99362,367,20,129,23,72,Everton,EPL,2019
