h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda.att,ppda.def,ppda_allowed.att,ppda_allowed.def,team_id,team_name,league_name,year
h,0.720574,0.27644,0.720574,0.27644,3,9,1,0,1.7647,w,2017-08-12,1,0,0,3,0.44413400000000003,130,21,289,20,72,Everton,EPL,2017
a,0.59971,1.14216,0.59971,1.14216,1,14,1,1,0.8764,d,2017-08-21,0,1,0,1,-0.5424500000000001,279,13,149,13,72,Everton,EPL,2017
a,0.326655,1.16991,0.326655,1.16991,4,11,0,2,0.6019000000000001,l,2017-08-27,0,0,1,0,-0.8432550000000001,350,20,282,19,72,Everton,EPL,2017
h,1.15144,2.17535,1.15144,2.17535,9,9,0,3,0.6814,l,2017-09-09,0,0,1,0,-1.0239099999999999,242,23,275,26,72,Everton,EPL,2017
a,1.06298,3.28722,1.06298,2.52605,1,5,0,4,0.21440000000000003,l,2017-09-17,0,0,1,0,-1.46307,218,23,326,31,72,Everton,EPL,2017
h,2.21092,0.384728,2.21092,0.384728,12,6,2,1,2.7649000000000004,w,2017-09-23,1,0,0,3,1.8261920000000003,208,23,210,16,72,Everton,EPL,2017
h,0.93376,0.383977,0.93376,0.383977,18,6,0,1,1.8204,l,2017-10-01,0,0,1,0,0.549783,122,14,242,15,72,Everton,EPL,2017
a,1.45518,1.05884,0.694013,1.05884,5,9,1,1,1.7146,d,2017-10-15,0,1,0,1,-0.364827,203,23,254,17,72,Everton,EPL,2017
h,0.810989,3.86029,0.810989,3.86029,0,17,2,5,0.09540000000000001,l,2017-10-22,0,0,1,0,-3.049301,346,19,138,16,72,Everton,EPL,2017
a,0.575236,1.36768,0.575236,1.36768,5,4,0,2,0.6357999999999999,l,2017-10-29,0,0,1,0,-0.792444,161,33,214,11,72,Everton,EPL,2017
h,2.5796,2.05534,1.81843,1.29417,7,6,3,2,1.7572,w,2017-11-05,1,0,0,3,0.52426,211,29,120,13,72,Everton,EPL,2017
a,1.68728,2.02983,0.926114,2.02983,4,9,2,2,1.0928,d,2017-11-18,0,1,0,1,-1.103716,276,34,103,18,72,Everton,EPL,2017
a,0.147724,1.97034,0.147724,1.97034,1,4,1,4,0.1619,l,2017-11-26,0,0,1,0,-1.822616,383,21,166,14,72,Everton,EPL,2017
h,1.76497,1.03658,0.90791,0.275413,5,10,4,0,2.0473999999999997,w,2017-11-29,1,0,0,3,0.632497,284,31,248,15,72,Everton,EPL,2017
h,0.820024,0.223429,0.820024,0.223429,7,4,2,0,1.9512,w,2017-12-02,1,0,0,3,0.596595,177,22,169,16,72,Everton,EPL,2017
a,0.823217,1.89569,0.062048,1.89569,0,17,1,1,0.5640000000000001,d,2017-12-10,0,1,0,1,-1.833642,342,20,66,17,72,Everton,EPL,2017
a,1.38719,0.570658,1.38719,0.570658,1,2,1,0,2.2398,w,2017-12-13,1,0,0,3,0.8165319999999999,273,26,249,21,72,Everton,EPL,2017
h,2.01756,0.766224,0.474817,0.766224,0,1,3,1,2.4695,w,2017-12-18,1,0,0,3,-0.291407,231,23,262,18,72,Everton,EPL,2017
h,0.342403,1.84971,0.342403,1.84971,1,17,0,0,0.2518,d,2017-12-23,0,1,0,1,-1.507307,320,25,167,17,72,Everton,EPL,2017
a,0.405775,1.18168,0.405775,1.18168,1,3,0,0,0.6531,d,2017-12-26,0,1,0,1,-0.7759050000000001,155,18,146,19,72,Everton,EPL,2017
a,0.599608,1.39955,0.599608,1.39955,6,7,1,2,0.7019,l,2017-12-30,0,0,1,0,-0.799942,151,28,271,18,72,Everton,EPL,2017
h,1.23952,1.26247,1.23952,1.26247,8,5,0,2,1.2988,l,2018-01-01,0,0,1,0,-0.022950000000000026,286,18,163,20,72,Everton,EPL,2017
a,0.290345,4.21366,0.290345,4.21366,3,8,0,4,0.009600000000000001,l,2018-01-13,0,0,1,0,-3.923315,319,30,198,29,72,Everton,EPL,2017
h,0.92355,1.34998,0.92355,1.34998,7,3,1,1,0.9985999999999999,d,2018-01-20,0,1,0,1,-0.42643,165,37,226,21,72,Everton,EPL,2017
h,1.53072,2.65018,1.53072,1.88901,5,2,2,1,0.5764,w,2018-01-31,1,0,0,3,-0.35829,246,30,167,17,72,Everton,EPL,2017
a,1.49065,3.19622,1.49065,3.19622,7,11,1,5,0.42979999999999996,l,2018-02-03,0,0,1,0,-1.7055699999999998,333,23,206,14,72,Everton,EPL,2017
h,1.48792,1.65713,1.48792,0.896038,12,8,3,1,1.2117,w,2018-02-10,1,0,0,3,0.5918819999999999,167,38,194,28,72,Everton,EPL,2017
a,0.665127,0.606929,0.665127,0.606929,4,4,0,1,1.4053,l,2018-02-24,0,0,1,0,0.05819799999999997,199,28,170,31,72,Everton,EPL,2017
a,1.79993,2.33524,1.79993,2.33524,5,9,1,2,1.0272000000000001,l,2018-03-03,0,0,1,0,-0.5353100000000002,183,18,159,17,72,Everton,EPL,2017
h,1.68868,0.321797,0.927516,0.321797,6,3,2,0,2.5553000000000003,w,2018-03-10,1,0,0,3,0.605719,137,18,210,17,72,Everton,EPL,2017
a,2.97881,0.894266,2.97881,0.894266,4,8,2,1,2.7303999999999995,w,2018-03-17,1,0,0,3,2.084544,175,23,243,21,72,Everton,EPL,2017
h,0.859628,1.91312,0.859628,1.91312,1,22,1,3,0.5809,l,2018-03-31,0,0,1,0,-1.0534919999999999,588,21,86,13,72,Everton,EPL,2017
h,0.723427,0.947321,0.723427,0.947321,5,6,0,0,1.0897999999999999,d,2018-04-07,0,1,0,1,-0.22389399999999993,328,23,151,11,72,Everton,EPL,2017
a,1.61456,1.19751,1.61456,1.19751,8,12,1,1,1.739,d,2018-04-14,0,1,0,1,0.4170499999999999,221,15,243,31,72,Everton,EPL,2017
h,0.948534,0.480957,0.948534,0.480957,7,9,1,0,1.7923,w,2018-04-23,1,0,0,3,0.46757699999999996,172,28,289,27,72,Everton,EPL,2017
a,0.943754,0.56538,0.943754,0.56538,4,6,2,0,1.7048999999999999,w,2018-04-28,1,0,0,3,0.378374,231,22,223,28,72,Everton,EPL,2017
h,0.420891,0.634996,0.420891,0.634996,4,2,1,1,1.0483,d,2018-05-05,0,1,0,1,-0.214105,187,24,219,18,72,Everton,EPL,2017
a,1.67867,1.18299,1.67867,1.18299,4,9,1,3,1.7427000000000001,l,2018-05-13,0,0,1,0,0.4956800000000001,226,16,188,15,72,Everton,EPL,2017
a,0.378659,1.18399,0.378659,1.18399,6,6,0,1,0.6263,l,2017-08-12,0,0,1,0,-0.805331,96,8,313,18,73,Bournemouth,EPL,2017
h,0.766694,2.17717,0.766694,2.17717,7,7,0,2,0.4092,l,2017-08-19,0,0,1,0,-1.4104759999999998,165,16,230,25,73,Bournemouth,EPL,2017
h,0.415402,1.76626,0.415402,1.76626,5,12,1,2,0.393,l,2017-08-26,0,0,1,0,-1.350858,316,21,120,29,73,Bournemouth,EPL,2017
a,0.577291,2.48732,0.577291,2.48732,2,12,0,3,0.2619,l,2017-09-09,0,0,1,0,-1.910029,306,19,232,30,73,Bournemouth,EPL,2017
h,1.39529,0.874276,1.39529,0.874276,6,1,2,1,1.7984,w,2017-09-15,1,0,0,3,0.5210139999999999,217,18,325,15,73,Bournemouth,EPL,2017
a,0.384728,2.21092,0.384728,2.21092,6,12,1,2,0.1456,l,2017-09-23,0,0,1,0,-1.8261920000000003,210,16,208,23,73,Bournemouth,EPL,2017
h,1.39901,0.594808,1.39901,0.594808,18,1,0,0,2.0637,d,2017-09-30,0,1,0,1,0.8042020000000001,154,14,275,25,73,Bournemouth,EPL,2017
a,0.17504,1.95684,0.17504,1.95684,1,17,0,1,0.1799,l,2017-10-14,0,0,1,0,-1.7817999999999998,391,9,130,30,73,Bournemouth,EPL,2017
a,1.11834,1.60117,0.357172,1.60117,3,9,2,1,0.9179,w,2017-10-21,1,0,0,3,-1.243998,182,24,226,29,73,Bournemouth,EPL,2017
h,0.455055,1.78362,0.455055,1.78362,8,14,0,1,0.41800000000000004,l,2017-10-28,0,0,1,0,-1.328565,360,16,264,12,73,Bournemouth,EPL,2017
a,1.28703,0.676091,1.28703,0.676091,12,4,1,0,1.8820000000000001,w,2017-11-04,1,0,0,3,0.6109389999999999,189,19,187,21,73,Bournemouth,EPL,2017
h,1.38782,1.1633,1.38782,1.1633,4,9,4,0,1.5512,w,2017-11-18,1,0,0,3,0.22452000000000005,271,14,105,17,73,Bournemouth,EPL,2017
a,0.449075,0.879594,0.449075,0.879594,7,4,0,0,0.8598,d,2017-11-25,0,1,0,1,-0.430519,222,14,263,42,73,Bournemouth,EPL,2017
h,0.915088,1.08519,0.915088,1.08519,6,5,1,2,1.1537,l,2017-11-29,0,0,1,0,-0.1701020000000001,164,16,307,23,73,Bournemouth,EPL,2017
h,1.11195,1.00264,1.11195,1.00264,12,11,1,1,1.4379000000000002,d,2017-12-03,0,1,0,1,0.10931000000000002,250,21,184,31,73,Bournemouth,EPL,2017
a,0.962374,4.61208,0.962374,3.08974,6,14,2,2,0.042800000000000005,d,2017-12-09,0,1,0,1,-2.127366,156,18,226,28,73,Bournemouth,EPL,2017
a,0.815792,1.24043,0.815792,1.24043,6,13,0,1,0.9441,l,2017-12-13,0,0,1,0,-0.42463799999999996,360,14,233,26,73,Bournemouth,EPL,2017
h,0.539178,3.25041,0.539178,3.25041,6,14,0,4,0.10670000000000002,l,2017-12-17,0,0,1,0,-2.711232,416,5,320,32,73,Bournemouth,EPL,2017
a,0.334896,1.55724,0.334896,1.55724,2,14,0,4,0.39649999999999996,l,2017-12-23,0,0,1,0,-1.2223439999999999,510,13,128,26,73,Bournemouth,EPL,2017
h,2.84928,1.87596,2.84928,1.87596,13,4,3,3,2.0279000000000003,d,2017-12-26,0,1,0,1,0.9733199999999997,166,25,223,30,73,Bournemouth,EPL,2017
h,1.39955,0.599608,1.39955,0.599608,7,6,2,1,2.0225,w,2017-12-30,1,0,0,3,0.799942,271,18,151,28,73,Bournemouth,EPL,2017
a,1.28248,2.37332,1.28248,2.37332,10,10,2,2,0.6717,d,2018-01-01,0,1,0,1,-1.09084,208,19,227,23,73,Bournemouth,EPL,2017
h,0.822285,1.00956,0.822285,1.00956,9,3,2,1,1.1422999999999999,w,2018-01-14,1,0,0,3,-0.18727499999999997,296,29,151,21,73,Bournemouth,EPL,2017
a,0.501886,0.980241,0.501886,0.980241,4,6,1,1,0.8241,d,2018-01-20,0,1,0,1,-0.478355,165,18,217,17,73,Bournemouth,EPL,2017
a,1.42447,1.14795,1.42447,1.14795,3,5,3,0,1.6386,w,2018-01-31,1,0,0,3,0.2765199999999999,353,38,168,21,73,Bournemouth,EPL,2017
h,1.91091,0.721222,1.91091,0.721222,9,6,2,1,2.2718,w,2018-02-03,1,0,0,3,1.189688,148,19,198,30,73,Bournemouth,EPL,2017
a,0.433555,2.56699,0.433555,1.80586,2,5,1,4,0.1345,l,2018-02-11,0,0,1,0,-1.3723049999999999,215,19,218,33,73,Bournemouth,EPL,2017
h,1.20646,4.23567,1.20646,4.23567,12,7,2,2,0.0618,d,2018-02-24,0,1,0,1,-3.02921,173,25,292,21,73,Bournemouth,EPL,2017
a,1.4035,2.97799,0.642327,2.97799,1,10,1,1,0.383,d,2018-03-03,0,1,0,1,-2.3356630000000003,179,9,150,24,73,Bournemouth,EPL,2017
h,1.17387,2.53124,1.17387,2.53124,5,9,1,4,0.4096,l,2018-03-11,0,0,1,0,-1.35737,313,27,169,20,73,Bournemouth,EPL,2017
h,0.685329,1.74488,0.685329,1.74488,6,8,2,1,0.5141,w,2018-03-17,1,0,0,3,-1.059551,172,20,277,17,73,Bournemouth,EPL,2017
a,2.1146,0.76133,1.35343,0.76133,7,15,2,2,2.4101,d,2018-03-31,0,1,0,1,0.5921,176,10,243,34,73,Bournemouth,EPL,2017
h,2.09227,1.14558,2.09227,1.14558,8,12,2,2,2.1047000000000002,d,2018-04-07,0,1,0,1,0.94669,212,15,278,16,73,Bournemouth,EPL,2017
a,0.540593,2.6402,0.540593,2.6402,3,19,0,3,0.1661,l,2018-04-14,0,0,1,0,-2.0996070000000002,356,10,196,25,73,Bournemouth,EPL,2017
h,1.18301,1.61597,1.18301,1.61597,1,12,0,2,0.9743000000000002,l,2018-04-18,0,0,1,0,-0.43296,314,15,237,27,73,Bournemouth,EPL,2017
a,1.01741,1.72584,1.01741,1.72584,7,6,1,2,0.8318000000000001,l,2018-04-28,0,0,1,0,-0.7084300000000001,176,25,281,21,73,Bournemouth,EPL,2017
h,1.69618,1.0138,1.69618,1.0138,8,10,1,0,1.9364,w,2018-05-05,1,0,0,3,0.68238,216,9,182,16,73,Bournemouth,EPL,2017
a,1.38551,1.16179,1.38551,1.16179,7,7,2,1,1.5265,w,2018-05-13,1,0,0,3,0.22371999999999992,185,13,211,25,73,Bournemouth,EPL,2017
h,2.21748,0.406196,2.21748,0.406196,16,1,0,0,2.6163000000000003,d,2017-08-12,0,1,0,1,1.8112840000000001,213,25,219,17,74,Southampton,EPL,2017
h,2.1424,1.53269,0.620063,1.53269,14,1,3,2,1.8535000000000001,w,2017-08-19,1,0,0,3,-0.9126270000000001,131,27,305,13,74,Southampton,EPL,2017
a,0.795911,1.51605,0.795911,1.51605,2,5,0,0,0.7917,d,2017-08-26,0,1,0,1,-0.7201389999999999,149,13,328,26,74,Southampton,EPL,2017
h,0.331259,0.57794,0.331259,0.57794,6,3,0,2,0.9929999999999999,l,2017-09-09,0,0,1,0,-0.24668099999999998,192,19,201,21,74,Southampton,EPL,2017
a,1.11428,2.03243,1.11428,2.03243,13,10,1,0,0.7139,w,2017-09-16,1,0,0,3,-0.9181500000000002,188,20,279,22,74,Southampton,EPL,2017
h,0.802062,1.07247,0.802062,1.07247,5,8,0,1,1.012,l,2017-09-23,0,0,1,0,-0.270408,179,20,290,19,74,Southampton,EPL,2017
a,1.42781,2.68136,1.42781,1.92019,14,9,1,2,0.5409999999999999,l,2017-09-30,0,0,1,0,-0.49238000000000004,112,19,374,24,74,Southampton,EPL,2017
h,1.71445,0.950997,0.953278,0.950997,9,6,2,2,2.0066,d,2017-10-15,0,1,0,1,0.0022809999999999775,185,26,359,20,74,Southampton,EPL,2017
h,2.02288,0.504128,2.02288,0.504128,7,0,1,0,2.5848,w,2017-10-21,1,0,0,3,1.5187519999999997,127,26,300,18,74,Southampton,EPL,2017
a,0.54364,1.50533,0.54364,1.50533,5,5,1,1,0.48219999999999996,d,2017-10-29,0,1,0,1,-0.96169,279,25,282,17,74,Southampton,EPL,2017
h,0.789259,0.137743,0.789259,0.137743,7,2,0,1,1.9682,l,2017-11-04,0,0,1,0,0.651516,157,20,301,8,74,Southampton,EPL,2017
a,0.563886,2.06277,0.563886,2.06277,3,12,0,3,0.36970000000000003,l,2017-11-18,0,0,1,0,-1.4988839999999999,315,28,173,20,74,Southampton,EPL,2017
h,1.97034,0.147724,1.97034,0.147724,4,1,4,1,2.7242,w,2017-11-26,1,0,0,3,1.822616,166,14,383,21,74,Southampton,EPL,2017
a,1.7066,1.64952,1.7066,1.64952,4,13,1,2,1.4478999999999997,l,2017-11-29,0,0,1,0,0.0570799999999998,339,19,121,31,74,Southampton,EPL,2017
a,1.00264,1.11195,1.00264,1.11195,11,12,1,1,1.2624000000000002,d,2017-12-03,0,1,0,1,-0.10931000000000002,184,31,250,21,74,Southampton,EPL,2017
h,1.21942,0.608352,1.21942,0.608352,2,24,1,1,1.9325999999999999,d,2017-12-10,0,1,0,1,0.61106799999999994,347,18,216,22,74,Southampton,EPL,2017
h,1.11749,2.24579,1.11749,2.24579,3,1,1,4,0.5875,l,2017-12-13,0,0,1,0,-1.1282999999999999,204,26,225,27,74,Southampton,EPL,2017
a,0.587081,1.29018,0.587081,1.29018,6,12,0,1,0.7893,l,2017-12-16,0,0,1,0,-0.7030990000000001,261,27,311,18,74,Southampton,EPL,2017
h,1.73805,1.09381,1.73805,1.09381,5,3,1,1,1.8755000000000002,d,2017-12-23,0,1,0,1,0.6442400000000001,142,28,191,24,74,Southampton,EPL,2017
a,0.591118,3.08413,0.591118,3.08413,5,14,2,5,0.12040000000000001,l,2017-12-26,0,0,1,0,-2.4930120000000002,268,40,184,21,74,Southampton,EPL,2017
a,0.85013,1.87247,0.85013,1.87247,6,11,0,0,0.6147,d,2017-12-30,0,1,0,1,-1.02234,268,18,221,22,74,Southampton,EPL,2017
h,0.445301,1.34294,0.445301,1.34294,6,7,1,2,0.5246999999999999,l,2018-01-02,0,0,1,0,-0.8976390000000001,152,26,307,19,74,Southampton,EPL,2017
a,0.857637,1.67369,0.857637,1.67369,6,13,2,2,0.7171,d,2018-01-13,0,1,0,1,-0.8160529999999999,210,19,178,24,74,Southampton,EPL,2017
h,1.15209,1.30653,1.15209,1.30653,2,15,1,1,1.2455,d,2018-01-21,0,1,0,1,-0.1544399999999999,265,17,171,24,74,Southampton,EPL,2017
h,1.27393,1.07907,1.27393,0.317904,8,4,1,1,1.4495,d,2018-01-31,0,1,0,1,0.956026,123,21,276,23,74,Southampton,EPL,2017
a,0.99695,0.876603,0.99695,0.876603,7,6,3,2,1.4214,w,2018-02-03,1,0,0,3,0.12034699999999998,136,17,268,24,74,Southampton,EPL,2017
h,0.854343,2.35575,0.854343,2.35575,5,11,0,2,0.4056,l,2018-02-11,0,0,1,0,-1.501407,276,21,318,29,74,Southampton,EPL,2017
a,0.65898,1.28178,0.65898,1.28178,3,4,1,1,0.6461,d,2018-02-24,0,1,0,1,-0.6227999999999999,168,19,162,13,74,Southampton,EPL,2017
h,0.982895,0.385303,0.982895,0.385303,6,7,0,0,1.8941,d,2018-03-03,0,1,0,1,0.5975919999999999,94,23,202,18,74,Southampton,EPL,2017
a,0.496723,1.35847,0.496723,1.35847,2,5,0,3,0.5303,l,2018-03-10,0,0,1,0,-0.861747,112,20,257,24,74,Southampton,EPL,2017
a,0.446641,1.44971,0.446641,1.44971,4,3,0,3,0.4962,l,2018-03-31,0,0,1,0,-1.003069,179,26,198,24,74,Southampton,EPL,2017
a,2.16699,1.58895,2.16699,1.58895,7,7,2,3,1.8292000000000002,l,2018-04-08,0,0,1,0,0.5780400000000001,348,15,170,15,74,Southampton,EPL,2017
h,1.2922,0.663817,1.2922,0.663817,1,8,2,3,1.9048999999999998,l,2018-04-14,0,0,1,0,0.628383,245,22,194,23,74,Southampton,EPL,2017
a,0.65117100000000006,0.515248,0.65117100000000006,0.515248,4,7,0,0,1.5232,d,2018-04-19,0,1,0,1,0.13592300000000002,217,23,188,28,74,Southampton,EPL,2017
h,1.72584,1.01741,1.72584,1.01741,6,7,2,1,1.9177999999999997,w,2018-04-28,1,0,0,3,0.7084300000000001,281,21,176,25,74,Southampton,EPL,2017
a,0.634996,0.420891,0.634996,0.420891,2,4,1,1,1.5174999999999998,d,2018-05-05,0,1,0,1,0.214105,219,18,187,24,74,Southampton,EPL,2017
a,1.48865,0.389621,1.48865,0.389621,7,7,1,0,2.3684,w,2018-05-08,1,0,0,3,1.099029,203,16,174,11,74,Southampton,EPL,2017
h,0.506624,0.765614,0.506624,0.765614,2,9,0,1,1.0368,l,2018-05-13,0,0,1,0,-0.25899000000000005,284,16,103,10,74,Southampton,EPL,2017
a,1.46495,2.54329,1.46495,2.54329,2,13,3,4,0.6852,l,2017-08-11,0,0,1,0,-1.0783399999999999,298,22,98,18,75,Leicester,EPL,2017
h,1.88355,0.123075,1.88355,0.123075,4,2,2,0,2.7489,w,2017-08-19,1,0,0,3,1.760475,354,17,269,14,75,Leicester,EPL,2017
a,0.670573,2.73725,0.670573,1.97608,3,13,0,2,0.18280000000000002,l,2017-08-26,0,0,1,0,-1.305507,325,19,147,18,75,Leicester,EPL,2017
h,1.34903,1.03943,0.587861,1.03943,2,12,1,2,1.6922000000000001,l,2017-09-09,0,0,1,0,-0.4515690000000001,284,24,164,15,75,Leicester,EPL,2017
