h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda.att,ppda.def,ppda_allowed.att,ppda_allowed.def,team_id,team_name,league_name,year
a,1.24181,0.700349,0.480681,0.700349,5,3,1,1,1.8998999999999997,d,2017-09-16,0,1,0,1,-0.21966799999999997,234,15,183,13,75,Leicester,EPL,2017
h,2.88766,1.92902,2.12649,1.92902,1,14,2,3,2.1074,l,2017-09-23,0,0,1,0,0.19747000000000003,227,19,160,19,75,Leicester,EPL,2017
a,0.594808,1.39901,0.594808,1.39901,1,18,0,0,0.6518999999999999,d,2017-09-30,0,1,0,1,-0.8042020000000001,275,25,154,14,75,Leicester,EPL,2017
h,0.964277,0.155254,0.964277,0.155254,7,2,1,1,2.1715,d,2017-10-16,0,1,0,1,0.809023,182,25,260,24,75,Leicester,EPL,2017
a,1.80814,0.559618,1.80814,0.559618,5,2,2,1,2.4387000000000003,w,2017-10-21,1,0,0,3,1.2485220000000001,242,18,212,16,75,Leicester,EPL,2017
h,1.36768,0.575236,1.36768,0.575236,4,5,2,0,2.1025,w,2017-10-29,1,0,0,3,0.792444,214,11,161,33,75,Leicester,EPL,2017
a,1.39563,1.22988,1.39563,1.22988,4,7,2,2,1.4755000000000003,d,2017-11-04,0,1,0,1,0.16574999999999984,173,14,251,21,75,Leicester,EPL,2017
h,0.0970457,2.40056,0.0970457,2.40056,1,18,0,2,0.0462,l,2017-11-18,0,0,1,0,-2.3035143000000002,487,18,147,25,75,Leicester,EPL,2017
a,0.453851,0.775297,0.453851,0.775297,1,4,1,1,0.9710000000000001,d,2017-11-24,0,1,0,1,-0.321446,169,23,254,22,75,Leicester,EPL,2017
h,0.924575,2.50552,0.924575,2.50552,4,11,2,1,0.3806,w,2017-11-28,1,0,0,3,-1.5809450000000003,271,13,189,25,75,Leicester,EPL,2017
h,1.61269,0.789388,1.61269,0.789388,10,5,1,0,2.0231,w,2017-12-02,1,0,0,3,0.823302,209,11,191,20,75,Leicester,EPL,2017
a,0.444099,0.964657,0.444099,0.964657,4,5,3,2,0.7807,w,2017-12-09,1,0,0,3,-0.520558,172,17,313,33,75,Leicester,EPL,2017
a,2.24579,1.11749,2.24579,1.11749,1,3,4,1,2.2012,w,2017-12-13,1,0,0,3,1.1282999999999999,225,27,204,26,75,Leicester,EPL,2017
h,0.758241,2.25889,0.758241,2.25889,4,3,0,3,0.4244,l,2017-12-16,0,0,1,0,-1.5006490000000001,132,29,253,24,75,Leicester,EPL,2017
h,1.56465,2.15281,1.56465,2.15281,5,10,2,2,0.9202,d,2017-12-23,0,1,0,1,-0.58816,229,28,245,18,75,Leicester,EPL,2017
a,1.54771,1.43009,1.54771,1.43009,4,6,1,2,1.4689,l,2017-12-26,0,0,1,0,0.11761999999999984,140,19,189,32,75,Leicester,EPL,2017
a,0.789667,2.56607,0.789667,2.56607,6,17,1,2,0.3166,l,2017-12-30,0,0,1,0,-1.7764029999999997,279,8,206,21,75,Leicester,EPL,2017
h,1.45074,0.226625,1.45074,0.226625,5,0,3,0,2.4737999999999998,w,2018-01-01,1,0,0,3,1.2241149999999998,285,21,272,30,75,Leicester,EPL,2017
a,1.36341,0.622946,1.36341,0.622946,8,8,0,0,2.0119,d,2018-01-13,0,1,0,1,0.740464,245,23,222,35,75,Leicester,EPL,2017
h,1.51932,0.740795,0.758155,0.740795,6,4,2,0,2.0745,w,2018-01-20,1,0,0,3,0.017360000000000042,192,22,235,21,75,Leicester,EPL,2017
a,2.65018,1.53072,1.88901,1.53072,2,5,1,2,2.2156000000000002,l,2018-01-31,0,0,1,0,0.35829,167,17,246,30,75,Leicester,EPL,2017
h,1.48466,0.569943,1.48466,0.569943,8,2,1,1,2.1703,d,2018-02-03,0,1,0,1,0.9147170000000001,166,24,298,21,75,Leicester,EPL,2017
a,0.109716,2.59121,0.109716,2.59121,3,19,1,5,0.054000000000000006,l,2018-02-10,0,0,1,0,-2.4814939999999996,372,13,159,26,75,Leicester,EPL,2017
h,1.12487,0.166078,1.12487,0.166078,4,3,1,1,2.2457000000000003,d,2018-02-24,0,1,0,1,0.9587920000000001,97,26,220,30,75,Leicester,EPL,2017
h,2.97799,1.4035,2.97799,0.642327,10,1,1,1,2.4593000000000003,d,2018-03-03,0,1,0,1,2.3356630000000003,150,24,179,9,75,Leicester,EPL,2017
a,1.86524,0.360925,1.86524,0.360925,7,4,4,1,2.5364,w,2018-03-10,1,0,0,3,1.504315,190,16,208,20,75,Leicester,EPL,2017
a,1.26582,1.60322,1.26582,0.842047,6,4,2,0,0.9754,w,2018-03-31,1,0,0,3,0.42377299999999996,205,22,212,23,75,Leicester,EPL,2017
h,1.09224,0.285116,1.09224,0.285116,4,1,1,2,2.3392,l,2018-04-07,0,0,1,0,0.8071240000000002,116,15,282,16,75,Leicester,EPL,2017
a,1.99812,1.05951,1.99812,1.05951,8,4,1,2,2.0646,l,2018-04-14,0,0,1,0,0.9386099999999999,127,13,208,16,75,Leicester,EPL,2017
h,0.515248,0.65117100000000006,0.515248,0.65117100000000006,7,4,0,0,1.06,d,2018-04-19,0,1,0,1,-0.13592300000000002,188,28,217,23,75,Leicester,EPL,2017
a,0.941395,2.7876,0.941395,2.02643,2,10,0,5,0.2516,l,2018-04-28,0,0,1,0,-1.085035,190,9,229,24,75,Leicester,EPL,2017
h,0.391738,1.43027,0.391738,1.43027,2,7,0,2,0.4699,l,2018-05-05,0,0,1,0,-1.038532,172,23,221,24,75,Leicester,EPL,2017
h,2.19801,1.54443,1.43684,1.54443,9,10,3,1,1.8544,w,2018-05-09,1,0,0,3,-0.10759000000000007,271,23,144,17,75,Leicester,EPL,2017
a,1.27359,1.83248,1.27359,1.83248,14,9,4,5,0.9087,l,2018-05-13,0,0,1,0,-0.5588900000000001,270,29,117,21,75,Leicester,EPL,2017
h,1.18399,0.378659,1.18399,0.378659,6,6,1,0,2.0681000000000003,w,2017-08-12,1,0,0,3,0.805331,313,18,96,8,76,West Bromwich Albion,EPL,2017
a,0.653058,1.37242,0.653058,1.37242,0,4,1,0,0.7581,w,2017-08-19,1,0,0,3,-0.719362,266,19,88,16,76,West Bromwich Albion,EPL,2017
h,0.875132,0.980905,0.875132,0.980905,2,8,1,1,1.2595,d,2017-08-27,0,1,0,1,-0.105773,240,20,169,19,76,West Bromwich Albion,EPL,2017
a,0.866679,0.396771,0.866679,0.396771,6,2,1,3,1.8028,l,2017-09-09,0,0,1,0,0.469908,275,9,265,20,76,West Bromwich Albion,EPL,2017
h,0.781891,0.266344,0.781891,0.266344,0,0,0,0,1.8479,d,2017-09-16,0,1,0,1,0.515547,323,12,152,18,76,West Bromwich Albion,EPL,2017
a,0.766652,2.39316,0.766652,1.63199,4,13,0,2,0.2906,l,2017-09-25,0,0,1,0,-0.865338,315,28,137,25,76,West Bromwich Albion,EPL,2017
h,1.93896,1.62462,1.93896,1.62462,5,11,2,2,1.6151,d,2017-09-30,0,1,0,1,0.31434000000000006,322,20,165,20,76,West Bromwich Albion,EPL,2017
a,0.155254,0.964277,0.155254,0.964277,2,7,1,1,0.49450000000000005,d,2017-10-16,0,1,0,1,-0.809023,260,24,182,25,76,West Bromwich Albion,EPL,2017
a,0.504128,2.02288,0.504128,2.02288,0,7,0,1,0.26489999999999997,l,2017-10-21,0,0,1,0,-1.5187519999999997,300,18,127,26,76,West Bromwich Albion,EPL,2017
h,1.11852,2.77085,1.11852,2.77085,1,17,2,3,0.30110000000000003,l,2017-10-28,0,0,1,0,-1.6523299999999999,499,23,124,29,76,West Bromwich Albion,EPL,2017
a,0.382005,0.260436,0.382005,0.260436,2,0,0,1,1.3411,l,2017-11-04,0,0,1,0,0.12156899999999998,240,18,246,20,76,West Bromwich Albion,EPL,2017
h,0.590655,1.71709,0.590655,1.71709,6,3,0,4,0.4918,l,2017-11-18,0,0,1,0,-1.1264349999999999,383,24,219,24,76,West Bromwich Albion,EPL,2017
