h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda.att,ppda.def,ppda_allowed.att,ppda_allowed.def,team_id,team_name,league_name,year
h,0.790063,1.12348,0.790063,1.12348,5,8,1,1,1.0261,d,2016-08-13,0,1,0,1,-0.3334170000000001,230,31,184,34,72,Everton,EPL,2016
a,1.83897,2.01885,1.83897,2.01885,8,7,2,1,1.2924,w,2016-08-20,1,0,0,3,-0.17988000000000004,136,28,321,27,72,Everton,EPL,2016
h,2.31835,0.187415,1.55718,0.187415,9,9,1,0,2.812,w,2016-08-27,1,0,0,3,1.3697650000000001,207,29,279,25,72,Everton,EPL,2016
a,2.84526,1.0404,2.84526,1.0404,4,3,3,0,2.4920999999999998,w,2016-09-12,1,0,0,3,1.8048600000000001,122,25,390,23,72,Everton,EPL,2016
h,1.17467,0.178081,1.17467,0.178081,8,1,3,1,2.3583,w,2016-09-17,1,0,0,3,0.9965890000000002,315,13,341,36,72,Everton,EPL,2016
a,1.15724,0.693594,1.15724,0.693594,4,4,0,1,1.7852999999999999,l,2016-09-24,0,0,1,0,0.463646,223,27,180,21,72,Everton,EPL,2016
h,1.1542,0.47692,1.1542,0.47692,8,6,1,1,1.9776999999999998,d,2016-09-30,0,1,0,1,0.6772799999999999,127,25,179,16,72,Everton,EPL,2016
a,0.144498,2.69208,0.144498,1.16978,1,23,1,1,0.0373,d,2016-10-15,0,1,0,1,-1.025282,293,12,118,20,72,Everton,EPL,2016
a,0.752795,0.905579,0.752795,0.905579,5,2,1,2,1.1068000000000002,l,2016-10-22,0,0,1,0,-0.15278400000000003,143,16,284,32,72,Everton,EPL,2016
h,2.0087,0.944816,2.0087,0.944816,5,6,2,0,2.1778,w,2016-10-30,1,0,0,3,1.0638840000000003,247,21,218,20,72,Everton,EPL,2016
a,0.0131321,1.94078,0.0131321,1.94078,1,12,0,5,0.10049999999999999,l,2016-11-05,0,0,1,0,-1.9276479,374,28,274,21,72,Everton,EPL,2016
h,1.54877,1.07471,1.54877,0.31354,2,3,1,1,1.7591,d,2016-11-19,0,1,0,1,1.23523,141,25,259,20,72,Everton,EPL,2016
a,0.615174,2.80562,0.615174,2.80562,8,8,0,1,0.17220000000000002,l,2016-11-27,0,0,1,0,-2.1904459999999997,223,26,180,28,72,Everton,EPL,2016
h,1.64985,0.541299,0.888683,0.541299,2,6,1,1,2.3563,d,2016-12-04,0,1,0,1,0.347384,225,27,186,28,72,Everton,EPL,2016
a,1.09675,1.49271,1.09675,1.49271,8,6,2,3,1.0327000000000002,l,2016-12-10,0,0,1,0,-0.3959600000000001,177,20,200,25,72,Everton,EPL,2016
h,1.46034,1.3508,1.46034,1.3508,3,15,2,1,1.4270999999999998,w,2016-12-13,1,0,0,3,0.10953999999999997,275,24,164,27,72,Everton,EPL,2016
h,0.456788,1.87823,0.456788,1.87823,1,17,0,1,0.3264,l,2016-12-20,0,0,1,0,-1.421442,306,21,121,21,72,Everton,EPL,2016
a,1.25512,0.377464,1.25512,0.377464,4,6,2,0,2.1938,w,2016-12-26,1,0,0,3,0.877656,166,17,279,26,72,Everton,EPL,2016
a,1.27757,0.852585,1.27757,0.852585,9,4,2,2,1.7003,d,2016-12-31,0,1,0,1,0.42498500000000006,214,28,276,23,72,Everton,EPL,2016
